Key,PL,TR,Notes
SMG_Plac_Zielony,Plac Zielony,Yeşil Meydan,Map_ST ile tutarlı
SMG_Plebanska,Plebańska,Plebańska,Sokak adı - aynen
SMG_Prozna,Próżna,Próżna,
SMC_Marszalkowska,Marszałkowska,Marszałkowska,
SMG_Erywanska,Erywańska,Erywańska,
SMC_Aleje_Jerozolimskie,Aleje Jerozolimskie,Aleje Jerozolimskie,"Varşova tarihi caddesi - özel isim"
SMC_Poznanska,Poznańska,Poznańska,
SMC_Nowogrodzka,Nowogrodzka,Nowogrodzka,
SMC_Posterunkowa,Posterunkowa,Posterunkowa,
CM_Mlynarska_Tylna,Młynarska Tylna,Młynarska Tylna,
CM_Powazkowska,Powązkowska,Powązkowska,
CM_Cmentarna,Cmentarna,Cmentarna,
GRZ_Grzybowska,Grzybowska,Grzybowska,
GRZ_Gnojna,Gnojna,Gnojna,
GRZ_Graniczna,Graniczna,Graniczna,
GRZ_Panska,Pańska,Pańska,
GRZ_Kreta,Kręta,Kręta,
GRZ_Gorska,Górska,Górska,
GRZ_Maryanska,Maryańska,Maryańska,
GRZ_Skorzana,Skórzana,Skórzana,
GRZ_Twardowskiego,Twardowskiego,Twardowskiego,
BZR_Targowa,Targowa,Targowa,
BZR_Brukowa,Brukowa,Brukowa,
BZR_Brzeska,Brzeska,Brzeska,
BZR_Konstantynowska,Konstantynowska,Konstantynowska,
PW_Bialoskrobnicza,Białoskrobnicza,Białoskrobnicza,
PW_Dobra,Dobra,Dobra,
PW_Browarna,Browarna,Browarna,
PW_Maryenstadt,Maryenstadt,Maryenstadt,
PW_Ziemna,Ziemna,Ziemna,
PW_Bednarska,Bednarska,Bednarska,
PR_Aleksandrowska,Aleksandrowska,Aleksandrowska,
PR_Panienska,Panieńska,Panieńska,
