Key,PL,TR,Notes
CM_ExteriorDescriptions,"Pęd cywilizacji, sukces, pomnażanie kapitału - marmurowe anioły uśmiechają się kpiąco, obserwując to zza cmentarnej bramy.","Medeniyetin hızı, başarı, sermayenin artışı — mermer melekler mezarlık kapısının ardından bunu izleyip alaycı bir tebessüm takınır.",Powązki mezarlığı
SMG_ExteriorDescriptions,"Stukot dorożek, tramwajów i zgiełk tłumu, lecz tuż obok przytulna zieloność skwerów i cisza. Dwa światy, niedom i dom jednocześnie.","Faytonların, tramvayların tıkırtısı ve kalabalığın gürültüsü; hemen yanı başında meydanların sıcak yeşili ve sessizlik. Aynı anda iki dünya: ev ve eve benzemeyen.","Śródmieście Północne ""niedom"" neolojizmi (eve-olmayan) için serbest aktarım"
PP_ExteriorDescriptions,"Ponura gardziel, w którą ze Śląska wpływają barki z węglem, a od strony morza - pomarańcze, kawa i szafran.","Karanlık bir boğaz; Silezya'dan kömür yüklü mavnalar, denizden portakal, kahve ve safran akar buraya.",Port Praski
BZR_ExteriorDescriptions,"Jeden z ważniejszych bazarów Warszawy. Wielki kiosk w kształcie syfonu góruje nad kupcami, naciągaczami i kieszonkowcami słynnymi na całą Europę.","Varşova'nın önemli pazarlarından biri. Sifon biçimli devasa bir kiosk; tüccarlara, dolandırıcılara ve Avrupa çapında ün salmış yankesicilere tepeden bakar.",Bazar Różyckiego
SMC_ExteriorDescriptions,"Nawołujący gazeciarze, uprzejmy uśmiech sąsiada, pączki w kawiarni. Sympatyczne europejskie miasto? Nie z tymi podwójnymi szyldami i patrolami.","Seslenen gazeteciler, komşunun nazik tebessümü, kafedeki çörekler. Sempatik bir Avrupa şehri mi? Çift dilli tabelalar ve devriyelerle değil elbette.","Çift dilli tabelalar = Rus işgali dönemi Polonya-Rusça"
PW_ExteriorDescriptions,"Sterty odpadków, również tych ludzkich. Kobiety upadłe kuszą przechodniów swoimi wymizerowanymi ciałami, okna łatane są łachmanami.","Yığın yığın çöp — insan artıkları da dahil. Düşmüş kadınlar soluk bedenleriyle yoldan geçenleri baştan çıkarır; pencereler paçavralarla yamanmıştır.",Powiśle
GRZ_ExteriorDescriptions,"Gwarno tu, ruchliwie i tłoczno.  W cierpliwym cieniu synagogi czy Gościnnego Dworu, zaradni mieszkańcy od świtu do zmierzchu uwijają w sprawunkach.","Gürültülü, hareketli, kalabalık. Sinagogun ya da Konukhanı'nın sabırlı gölgesinde becerikli sakinler şafaktan alacakaranlığa dek alışverişlerinde koşturur.","Gościnny Dwór = Rus dönemi ticari han (Gostiny Dvor)"
DS_ExteriorDescriptions,"Zielona oaza pośród miejskiego chaosu. Tłumy spieszące na jarmark, dzieci grające w serso, kataryniarze, szmer towarzyskich plotek...","Şehrin kaosu içinde yeşil bir vaha. Panayıra koşan kalabalıklar, halka oynayan çocuklar, laterna çalgıcıları, cemiyet dedikodularının fısıltısı…","Serso = halka oyunu; kataryniarz = el orgı çalgıcısı"
PRL_VillageDescriptions,"Wśród drewnianych chałup i gdaczącego drobiu można by się czuć swojsko, gdyby nie dziwna atmosfera, która przenika tutaj każdą piędź ziemi.","Ahşap kulübelerin ve gıdaklayan tavukların arasında insan kendini evinde hissedebilirdi — şayet bu toprağın her karışını kuşatan o tuhaf havaya aldırmasa.",Kafkasya prolog köyü
PR_ExteriorDescriptions,"Drewniane chałupy, między którymi biegnie linia tramwaju i nowoczesne skwery budowane obok karczm. Tygiel kulturowy przełomu wieków.","Ahşap kulübeler — aralarından tramvay hattı geçer, meyhanelerin yanına modern meydanlar kurulur. Yüzyıl dönümünün kültür potası.",Praga
POL_Forest_ClearingDescriptions,"Miejscowi chłopi błogosławią to miejsce - zieloną i pachnącą fabrykę, w której gwiżdżą tylko ptaki, a huczy jedynie strumień.","Yöre köylüleri burayı hayır dualarıyla anar — yemyeşil, mis kokulu bir fabrika; içinde yalnızca kuşların öttüğü, yalnızca derenin çağıldadığı bir yer.",
SK_Train_StationDescriptions,"Piękny wiek XIX, wspaniały wiek XX. Nawet tutaj, wioska na krańcach Zakaukazia ma swój portal łączący ją z resztą świata.","Güzel XIX. yüzyıl, muhteşem XX. yüzyıl. Güney Kafkasya'nın ucundaki bu köyün bile dünyanın geri kalanına açılan kendi kapısı vardır.",Zakaukazie = Güney/Trans-Kafkasya
WCM_CemeteryDescriptions,"Niektórzy z umrzyków nigdy nie wystawili stopy poza granice tej wioski. Teraz pozostaną tutaj już na zawsze.","Ölülerin bir kısmı bu köyün sınırının dışına hiç adım atmamıştır. Şimdi de sonsuza dek burada kalacaklar.",
SG_Burned_HouseDescriptions,"Miejscowi wspominają to miejsce z nostalgią za utraconym spokojem i światłem. Naznaczone śmiercią, zostało przeklęte.","Yöre halkı burayı yitirilen huzur ve ışığa duydukları özlemle anar. Ölümle damgalanmış, lanete uğramıştır.",
