Key,PL,TR,Notes
Progression.Unlocked.Effect.Deed.1,Złodziej myśli,Düşünce Hırsızı,
Progression.Unlocked.Effect.Deed.2,Brutalność,Vahşet,
Progression.Unlocked.Effect.Deed.3,Krwawa Odnowa,Kanlı Tazelenme,
Progression.Unlocked.Effect.Deed.4,Osłabiająca rana,Zayıflatıcı Yara,
Progression.Unlocked.Effect.Deed.5,Sabotaż działań,Eylem Sabotajı,
Progression.Unlocked.Effect.Deed.6,Lokata,Yatırım,"Lokata = banka mevduatı/yatırım"
Progression.Unlocked.Effect.Deed.7,Żelazna skóra,Demir Deri,
Progression.Unlocked.Effect.Deed.8,Lecznicza medytacja,Şifa Meditasyonu,
Progression.Unlocked.Effect.Heart.1,Hazard,Kumar,
Progression.Unlocked.Effect.Heart.2,Perfekcyjna efektywność,Kusursuz Verim,
Progression.Unlocked.Effect.Heart.3,Zastrzyk adrenaliny,Adrenalin İğnesi,
Progression.Unlocked.Effect.Heart.4,Oczywisty cel,Aşikâr Hedef,
Progression.Unlocked.Effect.Heart.5,Trzecia zasada,Üçüncü Kural,
Progression.Unlocked.Effect.Heart.6,Kumulacja,Birikim,
Progression.Unlocked.Effect.Heart.7,Berserker,Berserker,
Progression.Unlocked.Effect.Heart.8,Podwojenie,İkileme,
Progression.Unlocked.Effect.Mind.1,Uspokojenie,Sükûnet,
Progression.Unlocked.Effect.Mind.2,Fartowna szansa,Şanslı Fırsat,
Progression.Unlocked.Effect.Mind.3,Lodowy pancerz,Buzdan Zırh,
Progression.Unlocked.Effect.Mind.4,Usztywnienie ciała,Beden Katılığı,
Progression.Unlocked.Effect.Mind.5,Katalizator obrażeń,Hasar Katalizörü,
Progression.Unlocked.Effect.Mind.6,Lód,Buz,
Progression.Unlocked.Effect.Mind.7,Furia,Hiddet,
Progression.Unlocked.Effect.Mind.8,Wytrącenie z równowagi,Dengeyi Bozma,
Progression.Unlocked.Effect.Word.1,Fortuna,Talih,
Progression.Unlocked.Effect.Word.2,Potężny umysł,Güçlü Zihin,
Progression.Unlocked.Effect.Word.3,Przypadkowe uszkodzenie,Kazara Hasar,
Progression.Unlocked.Effect.Word.4,Perfekcyjne planowanie,Kusursuz Planlama,
Progression.Unlocked.Effect.Word.5,Nerwowe zdublowanie,Sinirli İkileme,
Progression.Unlocked.Effect.Word.6,Słaby umysł,Zayıf Zihin,
Progression.Unlocked.Effect.Word.7,Rozproszenie,Dağıtma,Glossary
Progression.Unlocked.Effect.Word.8,Nadejście Zimy,Kışın Gelişi,
