Key,PL,TR,Notes
Engage,Zawiązanie walki,Savaşa Giriş,
Skip,Pomiń turę,Turu Atla,
Player_A1,Szybki atak,Hızlı Saldırı,
Player_A2,Akcja reakcja,Eylem Tepki,PL'de kafiyeli ikileme; TR'de kısa tutuldu
Player_A3,Błyskawiczna kombinacja,Yıldırım Kombinasyonu,
Player_B1,Planowany atak,Planlı Saldırı,
Player_B2,Przemyślane rozwinięcie,Düşünülmüş Hamle,
Player_B3,Kończący argument,Nihai Argüman,
Player_C1,Rozproszenie,Dağıtma,Glossary: Rozproszenie = Dağıtma
Player_C2,Dekoncentracja,Dikkat Dağıtma,
Player_C3,Tortura,İşkence,
Player_D1,Zadawniona rana,Eski Yara,
Player_D2,Katusze,Eziyet,
Player_D3,Udręczenie,Çile,
Player_H,Wstrząs mózgu,Beyin Sarsıntısı,Güçlü Saldırı
Bukavac_01,Fatum,Kader,
Bukavac_02,Krwawe gody,Kanlı Düğün,
Bukavac_03,Skowyt,Uluma,
Bukavac_H,Surmijski cios,Sırp Darbesi,"Surmijski — Güney Slav/Srem bölge sıfatı; pragmatik ""Sırp"" seçildi, alternatif önerilere açık"
Djinn_01,Podszept Karina,Karin'in Fısıltısı,"Karin = Arap geleneğinde insanın karanlık cin eşi"
Djinn_02,Koszmar derwisza,Derviş Kâbusu,
Djinn_03,Życiowe zadłużenie,Hayat Borcu,
Djinn_H,Ostatnie życzenie,Son Dilek,
Golem_01,Shem,Shem,"İbranice ""İsim"" — Golem'e can veren sözcük, çevrilmez"
Golem_02,Afar,Afar,"İbranice ""toz"", çevrilmez"
Golem_03,Dam,Dam,"İbranice ""kan"", çevrilmez"
Golem_H,Mét,Mét,"İbranice ""ölü"", çevrilmez"
Krampus_01,Szatański figiel,Şeytan Oyunu,
Krampus_02,Czarci pakt,Şeytan Antı,Pakt = Ant (glossary)
Krampus_03,Diabelska kara,Şeytanî Ceza,
Krampus_H,Śmiertelny sznaps,Ölümcül Schnapps,"Krampus Alpler kökenli; schnapps Alman içkisi, aynen bırakıldı"
Lelek_01,Zwodnicza pieśń,Aldatıcı Şarkı,
Lelek_02,Żałobne tony,Yas Nağmeleri,
Lelek_03,Posępny trel,Kasvetli Nağme,Trel = kuş ötüşü/tril
Lelek_H,Lament umrzyka,Ölünün Ağıdı,
Morana_01,W objęciach śmierci,Ölümün Kucağında,
Morana_02,Cena spokoju,Huzurun Bedeli,
Morana_03,Morowe tchnienie,Veba Nefesi,
Morana_H,Zimowy sen,Kış Uykusu,
Upyr_01,Upiorne upojenie,Hortlak Sarhoşluğu,PL'deki aliterasyon TR'de kayboldu
Upyr_02,Krwawa pokuta,Kanlı Kefaret,
Upyr_03,Liberum Veto,Liberum Veto,Polonya tarihi/latince terim; çevrilmez
Upyr_H,Już nie dla świata,Dünyaya Veda,"Lit: ""Artık dünya için değil"" — kısaltıldı"
Weles_01,Całus na szczęście,Şans Öpücüğü,
Weles_02,Śliski zakład,Sinsi Bahis,"Śliski = kaygan/sinsi; Weles kurnaz tanrı"
Weles_03,Jadowity uśmiech,Zehirli Tebessüm,
Weles_H,Fortunny obrót,Talih Dönüşü,
Salutor_Sacrifice,Zerwanie więzi,Bağı Koparma,Glossary: Więź = Bağ
Rasputin_01,Kara za grzechy,Günahların Cezası,
Rasputin_02,Zatrucie więzi z Bukavacem,Bukavac Bağını Zehirleme,
Rasputin_03,Zatrucie więzi z Lelkiem,Lelek Bağını Zehirleme,
Rasputin_04,Zatrucie więzi z Welesem,Weles Bağını Zehirleme,
Rasputin_05,Zatrucie więzi z Golemem,Golem Bağını Zehirleme,
Rasputin_06,Zatrucie więzi z Djinnem,Djinn Bağını Zehirleme,
Rasputin_07,Zatrucie więzi z Moraną,Morana Bağını Zehirleme,
Rasputin_08,Zatrucie więzi z Krampusem,Krampus Bağını Zehirleme,
Rasputin_H,Pokuta,Kefaret,
Guard_01,Defensywne przejście,Savunma Geçişi,
Counter_01,Szykowanie kontrataku,Karşı Saldırı Hazırlığı,
Counter_02,Defensywa zespołowa,Takım Savunması,
Blunt_Fast_01,Obicie,Pataklama,
Blunt_Fast_02,Szast-prast,Şipşak,PL onomatopoeia; TR'de şipşak yakın karşılık
Blunt_Fast_03,Ogłuszające uderzenie,Sersemletici Darbe,
Blunt_Fast_04,Uszkodzenie czaszki,Kafatası Hasarı,
Blunt_Fast_05,Obuch,Topuz,"Obuch = topuz/çomak, küt silah"
Blunt_Medium_01,Odstraszacz,Caydırıcı,
Blunt_Medium_02,Pogruchotanie,Paramparça Etme,
Blunt_Medium_03,Wściekłe uderzenie,Öfkeli Darbe,
Blunt_Medium_04,Rozłupanie czaszki,Kafatası Yarma,
Blunt_Medium_05,Ciężki obuch,Ağır Topuz,
Blunt_Slow_01,Niszczyciel,Yok Edici,
Blunt_Slow_02,Połamanie,Kırma,
