"Key","PL","TR","Notes"
"TutorialFight_1","Walka tutorialowa 1","Eğitici dövüş 1",""
"TutorialFight_2","Walka tutorialowa 2","Eğitici dövüş 2",""
"TutorialFight_3","Walka tutorialowa 3","Eğitici dövüş 3",""
"TutorialFight_4","Walka tutorialowa 4","Eğitici dövüş 4",""
"TutorialFight_5","Walka tutorialowa 5","Eğitici dövüş 5",""
"Fight_1","Walka 1","Dövüş 1",""
"Fight_2","Walka 2","Dövüş 2",""
"TutorialFight1_Description","Podstawowe mechaniki walki","Temel dövüş mekanikleri",""
"TutorialFight2_Description","Skupienie i Silne ataki","Odak ve Güçlü saldırılar",""
"TutorialFight3_Description","Rytuał","Ritüel",""
"TutorialFight4_Description","Zmiana Salutorów i Sugestie","Salutor değişimi ve İmalar",""
"TutorialFight5_Description","Cechy","Özellikler",""
"Fight1_Description","Walka z pierwszego aktu","Birinci perdeden dövüş",""
"Fight2_Description","Walka z końca drugiego aktu","İkinci perdenin sonundan dövüş",""
"CommonSelection_Select","Wybierz","Seç",""
"SelectDifficulty_Hard","Hard","Zor",""
"MainMenu_MouseLeftButton","Lewy przycisk myszki","Sol fare tuşu",""
"MainMenu_RightMouseButton","Prawy przycisk myszki","Sağ fare tuşu",""
"MainMenu_MouseWheelUp","Kółko myszki w górę","Fare tekerleği yukarı",""
"MainMenu_MouseWheelDown","Kółko myszki w dół","Fare tekerleği aşağı",""
"MainMenu_Clear","Wyczyść","Temizle",""
"MainMenu_SpaceBar","Spacja","Boşluk tuşu",""
