Key,PL,TR,Notes
Interaction_Inspect,Zbadaj,İncele,
Interaction_Read,Przeczytaj,Oku,
Interaction_Use,Użyj,Kullan,
Interaction_Unlock,Odblokuj,Kilidi Aç,
Interaction_Enter,Wejdź,Gir,
Interaction_Locked,Zamknięte,Kilitli,
Interaction_Open,Otwórz,Aç,
Interaction_Close,Zamknij,Kapat,
Interaction_Talk,Zagadaj,Konuş,
Interaction_SitDown,Usiądź,Otur,
Interaction_PickUp,Podnieś,Al,
Interaction_AnswerPhone,Odbierz telefon,Telefonu Aç,
Interaction_TravelVillage,Jedź na wozie,Yük Arabasına Bin,"Wóz = Yük Arabası (glossary)"
Interaction_SkipTime,Zaczekaj,Bekle,
Interaction_Influence,Zmanipuluj,Manipüle Et,"Zmanipuluj = Manipüle Et (PopupsTexts ile tutarlı)"
Interaction_ReduceStress,Odpręż się,Dinlen,
Interaction_TravelByTrain,Złap tramwaj,Tramvaya Bin,"Kaynakta literal 'tramvayı yakala' ama tramvay biniş eylemi"
Interaction_TravelByCarriage,Weź dorożkę,Faytona Bin,"Dorożka = Fayton (glossary)"
Interaction_UseWardrobe,Przebierz się,Kıyafet Değiştir,"Panels_ST Panel_InventoryWardrobe (Giyin ve Çık) ile bağlantılı"
Interaction_Barber,Ostrzyż się,Tıraş Ol,"Barber_Apply (Tıraş Ol ve Çık) ile tutarlı"
Interaction_ReduceStress_Coffee,Zamów kawę,Kahve Al,
Interaction_ReduceStress_Beer,Zamów piwo,Bira Al,
Interaction_ReduceStress_Donuts,Kup pączka,Çörek Al,
Interaction_ReduceStress_IceCream,Kup lody,Dondurma Al,
Interaction_ReduceStress_Cognac,Napij się koniaku,Konyak İç,
Interaction_ReduceStress_Chess,Zagraj w szachy,Satranç Oyna,
Interaction_ReduceStress_Lyre,Posłuchaj liry,Liri Dinle,
Interaction_ReduceStress_Wine,Zamów wino,Şarap Al,
Interaction_ReduceStress_Birds,Obserwuj ptaki,Kuşları İzle,
Interaction_ReduceStress_BarrelOrgan,Posłuchaj katarynki,Laternayı Dinle,"Katarynka = laterna (dönem sokak çalgısı)"
