"Hash","NodeName","PL","TR","Notes"
"D3E9523E4B49D57F7B6330ACB63793F5","IC_q203","Troski służącej","Hizmetçinin Kaygıları",""
"B2851CD44309FB95C0A31F812FF4A059","IC_q203","Wszystko wskazuje na to, że obowiązkowa służąca Nadarzyńskich nie wytrzymała obecności Rasputina oraz gości, których sprowadzał pod niegdyś szanowany dach, i porzuciła swoją posadę. Upatrywała w nim czarta i szukała sposobu na odegnanie złego ducha, ale najwyraźniej jej się to nie udało.","Her şey, Nadarzyńskilerin görev bilincine sahip hizmetçisinin Rasputin'in ve onun, bir zamanlar saygın olan çatının altına taşıdığı misafirlerin varlığına dayanamayıp görevini bıraktığını gösteriyor. Onda bir şeytan görmüş, kötü ruhu kovmanın yolunu aramış; ne yazık ki belli ki başaramamış.",""
"8C1BF8E6450B65E3199F40A6FF8F19F7","IC_q203","Fartuch","Önlük",""
"67D88B1B487B4A44B2598BB066EEE1E0","IC_q203","Poplamiony fartuch, własność służącej.","Lekeli bir önlük; hizmetçinin malı.",""
"68806CF141C48EC43A70CEB9D0F09305","IC_q203","Serce","Yürek",""
"F271E21C4CCB741AFC9532BFA66806EF","IC_q203","Szczerze lubiła tę pracę. Nadarzyńscy byli dobrymi gospodarzami. Ale dłużej tak się nie da. W złości, która przenika każde włókno fartucha, można wyczuć echo żalu za dobrymi, bezproblemowymi czasami. Za czasami bez niego.","Bu işi içtenlikle severdi. Nadarzyńskiler iyi ev sahipleriydi. Ama artık böyle gitmez. Önlüğün her lifine işleyen öfkede; iyi, sorunsuz zamanlara duyulan bir özlemin yankısı hissediliyor. Onsuz olan zamanlara.",""
"072ED31B4A5B5B7330BDD8AB80B2795A","IC_q203","Sól na progu","Eşikteki Tuz",""
"F0FEFC614CCFB95BF6E8BDBF994623D5","IC_q203","Rozsypana na progu w geście ochrony przed lichem.","Kötü güce karşı koruma jesti olarak eşiğe serpilmiş.",""
"D039A45648FF0BBF5DC22386376130E1","IC_q203","Czyn","Eylem",""
"47F30EDC420C9A90BA7B0BA4EA7E9645","IC_q203","Dłoń drżąca w przestrachu rozsypywała sól w nadziei na odegnanie czarciego ducha. Sól miała być dobra, miała odganiać wszelkie zło, nawet pod taką postacią. Tylko diabeł może tak cuchnąć. Ale sól dobra, pomoże i na niego.","Korkudan titreyen bir el, şeytanı kovmak umuduyla tuzu serpiyordu. Tuzun iyi olması, her türlü kötülüğü kovması gerekirdi — böyle bir biçimde bile. Yalnız şeytan böyle kokabilir. Ama tuz iyidir; ona da yarar.",""
"CC58A4404B650F3726E91A9EAC9FCB1F","IC_q203","Miotła","Süpürge",""
"118D3BCF4F977D960E2EB98D23C8119C","IC_q203","Drewniana miotła codziennego użytku.","Günlük kullanım için ahşap bir süpürge.",""
"EEC59739444A11875483FFB05D2A39AC","IC_q203","Słowo","Söz",""
"4A2997664A69DDC5B21E999DE4954275","IC_q203","Z każdym pociągnięciem miotły, na usta cisnęły się słowa pełne wzgardy. Co to za towarzystwo? Państwo Nadarzyńscy zaczęli się obracać w bardzo dziwnych kręgach... Nie przystoi zapraszać takich gości... I ten Szulski? Takie porządne nazwisko, a nie lepszy od innych...","Süpürgenin her hareketinde, dudaklara küçümseme dolu sözler diziliyordu. Bu nasıl bir muhabbet? Nadarzyński Çifti çok tuhaf çevrelerde dolaşmaya başladılar… Böyle misafirler çağırmak yakışık almaz… Ya bu Szulski? Bu kadar saygın bir soyadı, ama diğerlerinden iyi değil…",""
"C990777C423E7E431FADE0923D9238C0","IC_q203","Wielka zmiana","Büyük Değişim",""
"17F8A0E04E8493FA9C5476A3DFAFC251","IC_q203","Mieszkanie Nadarzyńskich zmieniło się nie do poznania. Ostatnio panował tu nienaganny ład i porządek, teraz natomiast... Widać, że nikt tu nie zawraca sobie głowy sprzątaniem. Wszyscy są zbyt zajęci nieustającą zabawą, podlewaną dużą ilością alkoholu.","Nadarzyński dairesi tanınmaz hâle gelmiş. Yakın zamana kadar burada kusursuz bir düzen ve tertip vardı; şimdiyse… Belli ki kimse temizlikle kafa yormuyor. Herkes, bol miktarda alkolle sulanan bitmek bilmez bir eğlencenin meşgulü.",""
"B7D5982A4166AF405A32428B5DCC6BC1","IC_q203","Brudne talerze","Kirli Tabaklar",""
"C20DFEE94B173CBAD3480482254D462A","IC_q203","Talerze z resztkami jedzenia. Nikt nie zawracał sobie głowy, by je pozmywać.","Yemek artıkları olan tabaklar. Kimse onları yıkamayı kafasına takmamış.",""
"00F96BFF4EC29834FF7C3883B06BCC9D","IC_q203","Serce","Yürek",""
"C24E4A074322FD36BFE2DDBFDD27C94B","IC_q203","Ktoś z bólem serca patrzył na brudne talerze. Kiedyś to było nie do pomyślenia, a teraz? Z ładnego mieszkania powstał chlew. ","Biri, kalp ağrısıyla kirli tabaklara bakıyordu. Bir zamanlar bu düşünülemezdi; şimdi mi? Güzel bir daireden bir ahır çıktı. ",""
"C72636744117426E2D6B29B04F95F149","IC_q203","Puste butelki","Boş Şişeler",""
"C09F63F24330C2AADDA55F894CD4EBA9","IC_q203","Puste butelki po drogich alkoholach.","Pahalı içkilerden geriye kalan boş şişeler.",""
"58D646494669CD59C012308D3B89DE51","IC_q203","Czyn","Eylem",""
"813CAABE459EB26BD527A28F6B823F2C","IC_q203","Jedna odstawiana, brana następna, odstawiana i brana, aż opróżnione zostały wszystkie. Co nie oznaczało wcale końca przyjęcia.","Biri bir kenara konuyor, sonraki alınıyor, konuyor ve alınıyor — ta ki hepsi boşalana kadar. Bu, partinin sonu anlamına gelmiyordu.",""
"299B972D4E2B8AFEDA9F818AAF69E59C","IC_q203","Kanapa","Kanepe",""
"6CCC5A4C4EDC22B242E451A58CC8838D","IC_q203","Wokół kanapy rozrzucone poduszki. Działo się.","Kanepenin çevresine yastıklar saçılmış. Olaylar yaşanmış.",""
"FDCEC1F84D8C6BA9704000947E6949BC","IC_q203","Słowo","Söz",""
"16B09B6243D88BF0C45B188023CFBF73","IC_q203","Śmiała się w głos, próbując powstrzymać go od mówienia sprośnych słów. Ale nie przestawał, rozśmieszał ją tylko bardziej, i bardziej, i bardziej... aż przyszła długo wyczekiwana satysfakcja.","Yüksek sesle gülüyordu; onu müstehcen sözler etmekten alıkoymaya çalışıyordu. Ama o vazgeçmiyor, onu daha çok, daha çok, daha çok güldürüyordu… ta ki uzun süredir beklenen tatmin gelene kadar.",""
"0DE276FD405A744B1E28D69C72547F45","IC_q203","Barwne grono kultystów","Renkli Kült Cemaati",""
"8F4E62F743766E1CFCEDAF86F0445CF8","IC_q203","Rasputin zebrał wokół siebie bardzo barwne grono osób, które z pozoru nie wydają się mieć wiele ze sobą wspólnego. Pochodzą z różnych warstw społecznych, mają odmienne charaktery, a jednak... Jednak łączy ich jakieś zaufanie wobec Rasputina, albo jego obietnic. Czy to początek kultu? Tylko Lucjan zdaje się mieć odmienną opinię.","Rasputin etrafına, görünüşte birbirleriyle pek ortak yanı olmayan son derece renkli bir grup topladı. Farklı toplum sınıflarından geliyorlar, farklı karakterlere sahipler; yine de… Yine de onları Rasputin'e ya da vaatlerine duyulan bir güven birleştiriyor. Bu bir kültün başlangıcı mı? Yalnız Lucjan'ın farklı bir görüşü var gibi.",""
"92C24FEC4154C4F621B7E3A208AF20A3","IC_q203","Fajka","Pipo",""
"A4D9B77A427D56CDAAEA468CCECEEADB","IC_q203","Drewniana, wygląda na często używaną. Musi należeć do Lucjana.","Ahşap; sık kullanılmış görünüyor. Lucjan'a ait olmalı.",""
"BCC29239478B9835B636F49631E408D1","IC_q203","Umysł","Akıl",""
"ADA31E564B077DE6A86289AA5C0F29E6","IC_q203","Paleniu fajki towarzyszył szereg uporczywych myśli, skupiających się wokół jednej, dominującej: ""to złe"". Niemoralność zachowań domowników jest dla palącego nie do zaakceptowania. To nie powinno tak wyglądać...","Pipo içmeye, hep tek bir baskın düşüncenin etrafında dönen ısrarlı düşünceler eşlik ediyordu: ""bu kötü"". Ev halkının ahlaksız davranışları, içen kişi için kabul edilemez. Böyle olmaması gerekirdi…",""
"D923E8E647C639A8CD0AB39230850DAA","IC_q203","Lampka wina","Şarap Kadehi",""
"7D8CF52447E45E325FB8C8A0BDA0877C","IC_q203","Pusty kieliszek wina z odciśniętą na nim szminką.","Üzerinde ruj izi olan boş bir şarap kadehi.",""
"A881BAE04EC35A52BAFE5F9E7943075E","IC_q203","Serce","Yürek",""
"EC09D6B746134E25EC90F0B45384B3EE","IC_q203","Na śladzie po kobiecych ustach ostało się dziwne pożądanie. To coś nowego, jakby zrodziło się niedawno i było zaskoczeniem. Serce wyzwoliło się z okowów moralności i dało ciału nieznaną wcześniej radość. To zasługa Rasputina. Niebywałe.","Kadın dudaklarının izinde tuhaf bir arzu kalmış. Yeni bir şey; sanki kısa süre önce doğmuş ve şaşırtmış. Yürek, ahlakın prangalarından kurtuldu ve bedene daha önce bilinmeyen bir sevinç verdi. Bu Rasputin'in başarısı. İnanılmaz.",""
"F63655B3418280D9CFE9F78752BAECE4","IC_q203","Popielniczka","Kül Tablası",""
"D27E28DD4C70F6BAFB2E75BF8B679350","IC_q203","Pełna niedopalonych papierosów.","Sönmemiş sigaralarla dolu.",""
"A1FBEEEA4958A3849558899700C80372","IC_q203","Umysł","Akıl",""
"8A82EE6A4857E6FFE4423CAF7EDE881C","IC_q203","Jeden za drugim, jeden za drugim. Popielniczka zdradza, że palaczka szuka w rytualnym papierosie chwili ukojenia. Ale ukojenie nie przychodzi, zapalany jest następny papieros... Może on jej faktycznie pomoże? Może spełni swoje obietnice i jej życie ulegnie w końcu poprawie?","Biri ardından öteki, biri ardından öteki. Kül tablası, kadının ritüelleşen sigarada bir an'lık teselli aradığını ele veriyor. Ne ki teselli gelmiyor, bir sonraki sigara yakılıyor… Belki o gerçekten ona yardım eder? Belki vaatlerini tutar ve hayatı sonunda düzelir?",""
"0A8610ED43B81239A4303386CC29DE2E","IC_q203","Walizka","Bavul",""
"35B3F8D84446A4569C278E96188CEE9C","IC_q203","Wygląda na tanią. Majątek, który się w niej znajduje nie jest zbyt duży.","Ucuz görünüyor. İçindeki mal varlığı pek büyük değil.",""
"B4ECB1C947E55F1DBB62B0A3F2F37BD4","IC_q203","Serce","Yürek",""
"78CABAB0419952185F66579ED16947F9","IC_q203","Od skromnego dobytku bije łuna nadziei. Nadziei na zmianę losu, który zdaje się z góry przesądzony. Mówił, że o nią zadba, że jest dla niego ważna... Oddała mu w zamian tylko swoje serce.  ","Mütevazı eşyadan bir umut ışıltısı yayılıyor. Önceden belirlenmiş gibi görünen kaderi değiştirme umudu. Ona göz kulak olacağını, kendisi için önemli olduğunu söyledi… Karşılığında ona yalnızca yüreğini verdi.  ",""
"DE4327B5491145304D70D1B8C9365DA0","IC_q203","Order","Nişan",""
"CABEAA4B448FE667352D20BAA5599B92","IC_q203","Order carski. Ciekawe, co robi tutaj, zamiast być dumnie przypiętym do munduru.","Çar nişanı. İlginç — üniformaya gururla iliştirilmek yerine ne işi var burada?",""
"45BADA84480C1F5F492591A04FF722C3","IC_q203","Czyn","Eylem",""
"09D0807041E50F705CB4AD9FCCC61E13","IC_q203","Odpięty od munduru w akcie przyrzekania wierności Rasputinowi. Dłoń, która to uczyniła, zadrgała, ale trwało to tylko ułamek sekundy. Ostatecznie lojalność wobec Rasputina okazała się nadrzędna. ","Rasputin'e bağlılık yemini ettiği bir hamlede üniformadan sökülmüş. Bunu yapan el bir an titredi, ama bu yalnız bir saniyenin küçük bir kısmı sürdü. Sonuçta Rasputin'e olan sadakat üstün geldi. ",""
"43658D6342217BC04A884E85F004331D","IC_q203","Cerkiewne rytuały","Cerkiew Ritüelleri",""
"9CCF6091421C3571FF26498957CD8164","IC_q203","W świątyni odbywają się regularnie egzorcyzmy, prowadzone przez ojca Kiryła. Duchowny działa wyuczenie, nie przykłada się szczególnie do rozpoznawania przypadków i faktycznej pomocy udręczonym duszom.","Mabette, Peder Kirył'ın yürüttüğü egzorsizm ayinleri düzenli olarak yapılıyor. Din adamı bunu ezberlenmiş bir şekilde yapıyor; vakaları teşhis etmek ve ızdırap çeken ruhlara gerçekten yardım etmek konusunda pek bir özen göstermiyor.","ojciec Kirył → Peder Kirył"
"B800415047265BD57EB66084A61BA517","IC_q203","Świecznik","Şamdan",""
"36208C874EE326983429ADBAFF23468A","IC_q203","Świece nie płoną, widać to rytualny świecznik, zapalany na specjalne okazje.","Mumlar yanmıyor; belli ki özel günlerde yakılan ritüel bir şamdan.",""
"92DE41BB40F0FE2588F8BABE2A2FC81E","IC_q203","Modlitewnik","Dua Kitabı",""
"E620B9DC47662DC746A644BB52902BB9","IC_q203","Zawiera modlitwy odmawiane w trakcie egzorcyzmów.","Egzorsizm sırasında okunan duaları içeriyor.",""
"4820F7DD4840B37ACDCD4CABD46FE8FC","IC_q203","Czyn","Eylem",""
"97237D1E440CBC9108EC0DA6378EBA85","IC_q203","Karty modlitewnika są często czytane, choć słowa na nich zapisane wyryte są już w pamięci. Te same modlitwy wykorzystywane do różnych przypadków rzekomego opętania. ","Dua kitabının sayfaları sık okunuyor; üzerlerindeki sözler artık ezbere bilinse de. Aynı dualar, sözde cinli vakalar için yeniden yeniden kullanılıyor. ",""
"DCEDC3FD4B7046672910C8A74A309FF1","IC_q203","Kadzidło","Tütsü",""
"05EFD3BD41C6E8A56A8F1586BAFD314A","IC_q203","Wciąż dymi, ciężko wytrzymać ten duszący zapach.","Hâlâ tütüyor; bu boğucu kokuya katlanmak zor.",""
"A3D6E83F45824FA404A6F693E719DF79","IC_q203","Słowo","Söz",""
