Key,PL,TR,Notes
BZR_Bimber_Shop,Sklep,Kaçak İçki Dükkânı,"Key: Bimber = kaçak içki"
BZR_Exterior,Bazar Różyckiego,Różycki Pazarı,Tarihî Varşova pazarı
BZR_Faldzej_ext,Podwórze,Avlu,
BZR_Shop,Sklep,Dükkân,
BZR_Shop_Backdoor,Zaplecze sklepu,Dükkân Arkası,
BZR_SmallShop,Mały sklepik,Küçük Dükkân,
CH_SummerHouse_Attic,Poddasze,Tavan Arası,
CH_SummerHouse_Exterior,Podwórko,Avlu,
CH_SummerHouse_Interior,Dom letniskowy Szulskich,Szulskilerin Yazlık Evi,
CM_AnielaApartment_Ext,Powązkowska,Powązkowska,Sokak adı - aynen
CM_AnielaApartment_Int,Powązkowska 7,Powązkowska 7,
CM_Exterior,Powązki,Powązki,Varşova mezarlık semti
CM_Mausoleum,Mauzoleum Szulskich,Szulskilerin Mozolesi,
CM_WTA_Headquarters,Siedziba WTA,WTA Karargâhı,WTA = oyun-içi örgüt kısaltması
CYT_Interior,Cytadela,Sitadel,
DEBUG_102,Q102,Q102,Debug
DEBUG_103,Q103,Q103,Debug
DEBUG_104,Q104,Q104,Debug
DEBUG_201,Q201,Q201,Debug
DEBUG_202,Q202,Q202,Debug
DEBUG_203,Q203,Q203,Debug
DEBUG_204,Q204,Q204,Debug
DEBUG_301,Q301,Q301,Debug
DEBUG_302,Q302,Q302,Debug
DEBUG_CombatDemo_Depricated,Combat Demo,Combat Demo,Debug
DEBUG_CombatLobby_Depricated,Demo Lobby,Demo Lobby,Debug
DEBUG_Demo,Demo,Demo,Debug
DEBUG_PW01,LW_PW01,LW_PW01,Debug
DEBUG_Ritual,Ritual,Ritual,Debug
DEBUG_SMC01,LW_SMC01,LW_SMC01,Debug
DEBUG_SMC02,LW_SMC02,LW_SMC02,Debug
DEBUG_SMG01,LW_SMG01,LW_SMG01,Debug
DS_Exterior,Dolina Szwajcarska,İsviçre Vadisi,Tarihî Varşova parkı
DS_Palace,Salon Wielkiej Alei,Büyük Cadde Salonu,
EPL_Exterior,Epilog,Epilog,
FL_Courtyard,Dziedziniec,Avlu,
FL_FilterStation,Stacja filtrów,Filtre İstasyonu,
GRZ_ArielApartment,Mieszkanie Ariela,Ariel'in Dairesi,
GRZ_Barber,Golibroda,Berber,
GRZ_Exterior,Mirów,Mirów,Varşova semti
GRZ_Hideout,Kryjówka spiskowców,Komplocuların Sığınağı,
GRZ_House,Kamienica,Apartman,
GRZ_Mordechaj_Offce,Biuro Mordechaja,Mordechaj'ın Bürosu,
GRZ_RichHouse,Mieszkanie Dicksteina,Dickstein'ın Dairesi,
GRZ_RichHouse_2Floor,Drugie piętro,İkinci Kat,
GRZ_Synagoge,Synagoga Nożyków,Nożyk Sinagogu,Varşova'daki tarihi sinagog
GRZ_Synagoge_Room,Kancelaria,Kançılarya,
GRZ_SzulskiShop,Sklep Szulskich,Szulskilerin Dükkânı,
Misc_WorldFirst,FirstChapter,FirstChapter,Debug (iç bölüm adı)
Misc_WorldSecond,SecondChapter,SecondChapter,Debug
MM_Start,Main Menu,Ana Menü,
POL_Forest_Clearing,Leśna Polana,Orman Açıklığı,
PP_Bark,Barka Javiera,Javier'in Mavnası,
PP_Beach,Plaża,Kumsal,
PP_Corner,Zaułek,Arka Sokak,
PP_Exterior,Port Praski,Praga Limanı,
PP_Kitchen,Kuchnia dla biedoty,Yoksul Mutfağı,
PP_Port_Warehouse,Magazyn portowy,Liman Deposu,
PP_Shed,Szopa,Baraka,
PP_hideout,Katownia Ochrany,Okhrana İşkencehanesi,Ochrana = Rus gizli polis
PP_Warehouse_Backdoor,Zaplecze,Arka Bölüm,
PR_Church,Cerkiew Św. Marii Magdaleny,Aziz Maria Magdalena Kilisesi,Praga'daki Ortodoks kilisesi
PR_Exterior,Praga,Praga,
PR_FaldzejApartment,Mieszkanie Fałdżeja,Fałdżej'in Dairesi,
PR_FaldzejApartment_Office,Gabinet Fałdżeja,Fałdżej'in Çalışma Odası,
PR_Fort,Cytadela,Sitadel,
PR_Fort_Cell,Cela w Cytadeli,Sitadel Hücresi,
PR_Hospital,Szpital,Hastane,
PR_Interior_0floor,Hol główny,Ana Hol,
PR_Interior_1floor,Pierwsze piętro,Birinci Kat,
PR_Interior_Dungeon,Podziemia,Yeraltı,
PR_Interior_Sidewing,Boczne skrzydło,Yan Kanat,
PR_Tavern,Berk Rotblit's Tavern,Berk Rotblit'in Meyhanesi,Kaynakta İngilizce kalmış
PRL_Farm,Spalone gospodarstwo,Yanmış Çiftlik,
PRL_House,Chata,Kulübe,
PRL_,Prolog,Prolog,
PRL_outsider_house_inside,prl_outsider_house_inside,prl_outsider_house_inside,Internal ID - görünmez
PRL_outsider_house_outside,prl_outsider_house_outside,prl_outsider_house_outside,Internal ID
PRL_Tavern,Gospoda,Han,Kırsal küçük han/meyhane
PRL_tavern_player_wakes_up,prl_tavern_player_wakes_up,prl_tavern_player_wakes_up,Internal ID
PRL_Trail,Szlak górski,Dağ Yolu,
PRL_Village,Wioska,Köy,
PRL_village_reached,prl_village_reached,prl_village_reached,Internal ID
PRL_WiseWomanHouse,Chata Szeptuchy,Bilge Kadının Kulübesi,"Szeptucha = Slav halk şifacısı (""fısıldayan kadın"")"
PW_BrokenHouse,Rudera,Harabe,
PW_Brothel_Corridor,Piętro,Kat,
PW_Brothel_Room,Pokój,Oda,
PW_Coast,Nabrzeże,Rıhtım,
PW_Exterior,Powiśle,Powiśle,Varşova semti
PW_HideoutA,Kryjówka,Sığınak,
PW_HideoutB,Loże,Localar,
PW_Lunapar,Lupanar,Lupanar,Latin orijinali; Roma dönem geneleviden kalan kelime
PW_Raffinerie,Rafineria cukru,Şeker Rafinerisi,
PW_Raffinerie_Hall,Główna hala,Ana Hol,
PW_Raffinerie_Office,Gabinet dyrektora,Müdür Odası,
PW_RefugeCamp,Przytulisko,Barınak,
PW_Shack,Rudera malarza,Ressamın Harabesi,
PW_Tent,Główny namiot,Ana Çadır,
RST_Ballroom,Sala balowa,Balo Salonu,
SG_Burned_House,Spalone Domostwo,Yanmış Hane,
SK_StationBuilding,Budynek Stacji,İstasyon Binası,
SK_Train_Station,Stacja Kolejowa,Tren İstasyonu,
SMC_AntiqueShop,Antykwariat,Antikacı,
