Key,PL,TR,Notes
Progression.Unlocked.Effect.Deed.1,Obniża [FOCUS] celu dodatkowo o 1 jeśli wróg jest pod wpływem stanu <Tag_Neg>Cierpienie</>.,Düşman <Tag_Neg>Acı</> durumu altındaysa hedefin [FOCUS]'unu 1 daha azaltır.,
Progression.Unlocked.Effect.Deed.3,Przywraca ci [GameplayEffect.Instant.Heal.Hp.DeedProgression] [HP] za każdego wroga pod wpływem stanu <Tag_Neg>Cierpienie</>.,<Tag_Neg>Acı</> durumu altındaki her düşman için [GameplayEffect.Instant.Heal.Hp.DeedProgression] [HP]'ni yeniler.,
Progression.Unlocked.Effect.Deed.5,"Przerywa zaplanowane działanie wroga, jeśli ten jest pod wpływem stanu <Tag_Neg>Cierpienie</>.",Düşman <Tag_Neg>Acı</> durumu altındaysa planlanmış eylemini keser.,
Progression.Unlocked.Effect.Deed.8,Przywraca ci [HP] w liczbie [GameplayEffect.Instant.Heal.Hp.HeartProgression].,[GameplayEffect.Instant.Heal.Hp.HeartProgression] kadar [HP]'ni yeniler.,
Progression.Unlocked.Effect.Heart.1,Daje 60% szans na zadanie podwójnych obrażeń.,İki kat hasar verme için %60 şans verir.,
Progression.Unlocked.Effect.Mind.1,Przywraca ci [FOCUS] równe (3).,[FOCUS]'unu (3) kadar yeniler.,
Progression.Unlocked.Effect.Mind.2,Daje 60% szans na spowolnienie działań wroga.,Düşmanın eylemlerini yavaşlatma için %60 şans verir.,
Progression.Unlocked.Effect.Mind.5,Zwiększa obrażenia o 100% jeśli wróg jest pod wpływem stanu <Tag_Neg>Cierpienie</>.,Düşman <Tag_Neg>Acı</> durumu altındaysa hasarı %100 artırır.,
Progression.Unlocked.Effect.Mind.6,Spowalnia tempo zaplanowanego działania wroga.,Düşmanın planlanmış eyleminin Hızını yavaşlatır.,
Progression.Unlocked.Effect.Mind.7,"Sprawia, że atak na wroga obierze losowy cel.",Düşmana yapılan saldırının rastgele bir hedef seçmesini sağlar.,
Progression.Unlocked.Effect.Mind.8,Pozwala przerywać zaplanowane działanie wroga.,Düşmanın planlanmış eylemini kesmeyi sağlar.,
Progression.Unlocked.Effect.Word.1,Daje 50% szans na przerwanie zaplanowanego działania wroga.,Düşmanın planlanmış eylemini kesmek için %50 şans verir.,
Progression.Unlocked.Effect.Word.3,"Daje 50% szans, że [FOCUS] celu zostanie obniżone dodatkowo o 2.",Hedefin [FOCUS]'unun 2 daha azalması için %50 şans verir.,
Progression.Unlocked.Effect.Word.5,"Podwaja efekt umiejętności, jeśli twoje [FOCUS] wynosi mniej niż 6.",[FOCUS]'un 6'dan azsa yeteneğin etkisini ikiye katlar.,
