Key,PL,TR,Notes
hair_01,Klasyczny Nieład,Klasik Dağınıklık,
hair_02,Nadwiślański Sznyt,Vistül Şıklığı,Nadwiślański = Vistül nehri kenarı / Varşovalı
hair_03,Akuratny Syreniak,Düzgün Varşovalı,Syreniak = Varşova arması Denizkızı; yerli Varşovalı
hair_04,Aligantny Zaczes,Zarif Kahkül,"Aligantny = argo ""elegant"""
special_hair_01,Marzenie Grabarza,Mezarcının Rüyası,
special_hair_02,Mogilna Elegancja,Mezar Şıklığı,
special_hair_04,Cymes Spod Igły,Yepyeni Cymes,"Cymes = Yiddish/argo ""harika""; ""spod igły"" = yeni yapılmış"
special_hair_03,Figlarne Mecyje,Şakacı Hoşafı,"Mecyje = dönem argosu ""hoşluk"""
special_hair_05,Srogi Szkwał,Sert Fırtına,
special_hair_06,Prawdziwy Wilk Morski,Hakiki Deniz Kurdu,
facial_hair_01,Obieżyświat,Dünya Gezgini,
facial_hair_02,Kozacki Wąs,Kazak Bıyığı,
facial_hair_03,Abraham Lincoln,Abraham Lincoln,
facial_hair_04,Szpicbródka,Sivri Keçi Sakalı,
special_facial_hair_01,Elegijny Czar,Hüzünlü Büyü,"Elegijny = elegia (hüzünlü şiir)"
special_facial_hair_02,Powązkowski Dryndziarz,Powązkili Faytoncu,"Dryndziarz = fayton şoförü argo"
special_facial_hair_03,Mirowskie Bokobrody,Mirówlu Favoriler,
special_facial_hair_04,Skromny Grzybowski,Mütevazı Grzybówlu,
special_facial_hair_05,Bosmański Klar,Lostromo Temizliği,"Klar = pak/temiz denizci argosu"
special_facial_hair_06,Marynarska Flauta,Denizci Sakalı,"Flauta = kabarık sakal"
deluxe_hair_01,Przebogata zaczeska,Tumturaklı Perçem,
deluxe_facial_hair_01,Pysznie napomadowany,Gururla Pomatlanmış,
