Key,PL,TR,Notes
Rasputin,Pobożna osoba,Dindar Kişi,
q101_wanda,Dziewczyna o silnej woli,Güçlü İradeli Kız,
Abaurycy,Chaotyczny mężczyzna,Düzensiz Adam,
Xavier,Amator Boksu,Boks Meraklısı,
Oksana,Tajemnicza kobieta,Esrarengiz Kadın,
q103_medium,Medium,Medyum,
q103_zofia,Debiutantka,Sosyeteye Yeni Çıkan Kız,"Debiutantka = ilk baloya çıkan genç kız"
q102_cossack_danis,Lekkomyślny mężczyzna,Düşüncesiz Adam,
Stanisław,Ojciec,Baba,
q101_kettling_officer,Niecierpliwy oficer,Sabırsız Subay,
q001_luka,Raptowna osoba,Atılgan Kişi,
q001_vesna,Nerwowa osoba,Gergin Kişi,
q001_wagoner,Znużona osoba,Bezgin Kişi,
lw_smc01_victim,Ambitna osoba,Hırslı Kişi,
lw_smc01_concierge,Sfrustrowana osoba,Hayal Kırıklığına Uğramış Kişi,
lw_smc01_waitress,Przestraszona osoba,Korkmuş Kişi,
lw_smc01_waitress_false,Zakochana osoba,Âşık Kişi,
lw_smc01_woronin_son,Zadufana osoba,Kendini Beğenmiş Kişi,
lw_smc02_boss,Strapiona osoba,Kederli Kişi,
lw_smc02_aggressive_worker,Wybuchowa osoba,Öfkesi Patlayan Kişi,
lw_smc02_worker_wife,Zakochana osoba,Âşık Kişi,
lw_smg01_thaumaturgy_devotee_helper,Złodziej,Hırsız,
lw_cm01_gravedigger_assistant,Hiena cmentarna,Mezarlık Sırtlanı,
lw_cm01_wta_agent,Sceptyczna osoba,Kuşkucu Kişi,
lw_smg01_thaumaturgy_devotee,Elegancka kobieta,Zarif Kadın,
lw_pw01_artist,Ekscentryczna osoba,Eksantrik Kişi,
lw_smg01_scared_woman,Awanturniczka,Kavgacı Kadın,
q104_scene_gossiping_girl1,Kochanka Javiera,Javier'in Metresi,
q102_side_bar_bouncer,Pożądliwa osoba,Şehvetli Kişi,
q103_zofia_friend2,Intrygantka,Entrikacı Kadın,
Izaak_Sofer,Starzec,İhtiyar,
lw_smc03_victim_traitor,Matka,Anne,
lw_smc03_victim_patriot,Romantyk,Romantik,
lw_smc03_wounded_man,Zamachowiec,Suikastçı,
lw_smc03_blind_girl,Niewinna osoba,Masum Kişi,
lw_smc03_station_guard,Zafascynowana osoba,Meftun Kişi,
q101_platform_crier,Choleryczny mężczyzna,Asabi Adam,
q103_elegant_man2,Łobuz,Külhanbeyi,
Ariel_Rofe,Kabalista,Kabalist,
lw_pw02_murderer,Rybak,Balıkçı,
lw_pw02_pawnshop_owner,Przesądna osoba,Batıl İnançlı Kişi,
lw_pw02_kid_leader,Zachwycona osoba,Hayran Olmuş Kişi,
Mordechaj_Chajat,Subiekt,Tezgâhtar,"Dönem Polonya dükkân asistanı"
Emir_Burnakov_faldzej,Lekarz,Doktor,
Abraham_Horowitz_apothecary,Aptekarz,Eczacı,
Konieczkin,Naczelnik,Amir,"Polis amir/komiser/şef"
q301_rioter_old_woman_01,Młody Mężczyzna,Genç Adam,
q201b_bouncer_bimber_shop,Człowiek Ariela,Ariel'in Adamı,
Skalon,Generał-gubernator,General-Vali,
Grazyna,Gospodyni,Ev Sahibesi,
Maria,Palaczka,Sigara İçen Kadın,"Palaczka = sigara içen kadın VEYA kazan ateşçisi; bağlam belirsiz"
Magdalena,Naiwna kobieta,Saf Kadın,
Lazarew,Oficer,Subay,
q103_aniela_maid,Służąca,Hizmetçi,
Angela,Mieszczanka,Şehirli Kadın,Mieszczanin = burjuva/şehirli orta sınıf
q103_angela_husband,Mieszczanin,Şehirli Burjuva,
q203_priest,Duchowny,Din Adamı,
Tsarina,Caryca,Çariçe,
q203_victim_child,Dziecko,Çocuk,
q203_victim_old_woman,Matka,Anne,
q103_countess,Hrabina Lermontowa,Kontes Lermontowa,
lw_pw01_main_policeman,Zestresowana osoba,Kaygılı Kişi,
lw_grz01_thief,Złodziej,Hırsız,
lw_grz01_thief_brothe,Dziecko,Çocuk,
lw_grz01_guard01,Sfrustrowana osoba,Bunalmış Kişi,
lw_cm01_wta_leader,Fanatyk,Fanatik,
lw_grz01_merchant,Marzyciel,Hayalperest,
lw_pp01_thief_leader,Prowodyr,Elebaşı,
lw_pp01_thief_idiot,Upokorzona osoba,Aşağılanmış Kişi,
lw_smg03_aggressive_man1,Awanturnik,Kavgacı,
lw_smg01_ochrana_spy,Fałszywa osoba,Sahte Kişi,
lw_cm01_gravedigger,Zatroskana osoba,Endişeli Kişi,
