"Key","Value"
"Dimension_Mind","Umysł"
"Dimension","Wymiar:"
"PowerUp","Ulepszona"
"NoMaxStress","Wróg nie jest w stanie Rozbicia"
"Dimension_Deed","Czyn"
"Dimension_Word","Słowo"
"Dimension_Heart","Serce"
"Interaction_Select","Wybierz"
"Interaction_Attack","Zaatakuj"
"Interaction_Support","Wesprzyj"
"Interaction_ChangeSalutor","Zmień salutora"
"Damage","obrażenia"
"HP","Punkty życia"
"SelectSalutor","Wybierz salutora:"
"Flaw","Skaza"
"Emotion","Emocja"
"CurrentResistances","obecnie"
"Status","Stan"
"Statuses","Stany"
"CanBeAppliedXtimes"," Można nałożyć"
"Round","runda"
"Interaction_GiveOrder","Wydaj rozkaz"
"Undo","cofnij decyzję"
"TutorialUnderstood","Kontynuuj"
"Interaction_TakeAction","Podejmij działanie"
"ChainType_Counter","Sekwencja kontr"
"ChainDescription_Deed","<i>Umiejętności Wymiaru Czyn oddają precyzyjne, wyćwiczone ruchy, wsparte tężyzną fizyczną.</>"
"ChainDescription_Heart","<i>Umiejętności Wymiaru Serce oddają impulsywne, gwałtowne ruchy, powodowane namiętnościami.</>"
"ChainDescription_Mind","<i>Umiejętności Wymiaru Umysł oddają analityczne podejście i przemyślane decyzje, prowadzone logiką i wiedzą.</>"
"ChainDescription_Word","<i>Umiejętności Wymiaru Słowo oddają subtelne lecz stanowcze sugestie, wsparte retoryką i charyzmą.</>"
"ChainType_Heart","Szybkie ataki"
"ChainType_Word","Wpływy"
"ChainType_Deed","Obrażenia w czasie"
"ChainType_Mind","Planowane ataki"
"UpgradeType_Combat","Ulepszenie sekwencji walki"
"AbilityDescription_ApplyStatus_1","Wywołuje u siebie "
"AbilityDescription_ApplyStatus_2","oraz wywołuje u siebie "
"AbilityDescription_ApplyStatus_3","Wywołuje "
"AbilityDescription_ApplyStatus_4","oraz wywołuje "
"AbilityDescription_Round1","w obecnej rundzie stan "
"AbilityDescription_Round2","na 2 rundy stan "
"AbilityDescription_Round3","na 3 rundy stan "
"AbilityDescription_Round4","na 4 rundy stan "
"AbilityDescription_Round5","na 5 rund stan "
"AbilityDescription_Round1_2","1 rundę"
"AbilityDescription_Round2_2","2 rundy"
"AbilityDescription_SlowsDown","Spowalnia tempo twojej umiejętności o "
"AbilityDescription_STRIncrease","Obniża [FOCUS] wroga o "
"AbilityDescription_ApplyDMG","Zadaje [DAMAGE]"
"AbilityDescription_STRReducePlayer","Zwiększa Twoje [FOCUS] o "
