"Key","Value"
"BZR_Bimber_Shop","Sklep"
"BZR_Exterior","Bazar Różyckiego"
"BZR_Faldzej_ext","Podwórze"
"BZR_Shop","Sklep"
"BZR_Shop_Backdoor","Zaplecze sklepu"
"BZR_SmallShop","Mały sklepik"
"CH_SummerHouse_Attic","Poddasze"
"CH_SummerHouse_Exterior","Podwórko"
"CH_SummerHouse_Interior","Dom letniskowy Szulskich"
"CM_AnielaApartment_Ext","Powązkowska"
"CM_AnielaApartment_Int","Powązkowska 7"
"CM_Exterior","Powązki"
"CM_Mausoleum","Mauzoleum Szulskich"
"CM_WTA_Headquarters","Siedziba WTA"
"CYT_Interior","Cytadela"
"DEBUG_102","Q102"
"DEBUG_103","Q103"
"DEBUG_104","Q104"
"DEBUG_201","Q201"
"DEBUG_202","Q202"
"DEBUG_203","Q203"
"DEBUG_204","Q204"
"DEBUG_301","Q301"
"DEBUG_302","Q302"
"DEBUG_CombatDemo_Depricated","Combat Demo"
"DEBUG_CombatLobby_Depricated","Demo Lobby"
"DEBUG_Demo","Demo"
"DEBUG_PW01","LW_PW01"
"DEBUG_Ritual","Ritual"
"DEBUG_SMC01","LW_SMC01"
"DEBUG_SMC02","LW_SMC02"
"DEBUG_SMG01","LW_SMG01"
"DS_Exterior","Dolina Szwajcarska"
"DS_Palace","Salon Wielkiej Alei"
"EPL_Exterior","Epilog"
"FL_Courtyard","Dziedziniec"
"FL_FilterStation","Stacja filtrów"
"GRZ_ArielApartment","Mieszkanie Ariela"
"GRZ_Barber","Golibroda"
"GRZ_Exterior","Mirów"
"GRZ_Hideout","Kryjówka spiskowców"
"GRZ_House","Kamienica"
"GRZ_Mordechaj_Offce","Biuro Mordechaja"
"GRZ_RichHouse","Mieszkanie Dicksteina"
"GRZ_RichHouse_2Floor","Drugie piętro"
"GRZ_Synagoge","Synagoga Nożyków"
"GRZ_Synagoge_Room","Kancelaria"
"GRZ_SzulskiShop","Sklep Szulskich"
"Misc_WorldFirst","FirstChapter"
"Misc_WorldSecond","SecondChapter"
"MM_Start","Main Menu"
"POL_Forest_Clearing","Leśna Polana"
"PP_Bark","Barka Javiera"
"PP_Beach","Plaża"
"PP_Corner","Zaułek"
"PP_Exterior","Port Praski"
"PP_Kitchen","Kuchnia dla biedoty"
"PP_Port_Warehouse","Magazyn portowy"
"PP_Shed","Szopa"
"PP_hideout","Katownia Ochrany"
"PP_Warehouse_Backdoor","Zaplecze"
"PR_Church","Cerkiew Św. Marii Magdaleny"
"PR_Exterior","Praga"
"PR_FaldzejApartment","Mieszkanie Fałdżeja"
"PR_FaldzejApartment_Office","Gabinet Fałdżeja"
"PR_Fort","Cytadela"
"PR_Fort_Cell","Cela w Cytadeli"
"PR_Hospital","Szpital"
"PR_Interior_0floor","Hol główny"
"PR_Interior_1floor","Pierwsze piętro"
"PR_Interior_Dungeon","Podziemia"
"PR_Interior_Sidewing","Boczne skrzydło"
"PR_Tavern","Berk Rotblit's Tavern"
"PRL_Farm","Spalone gospodarstwo"
"PRL_House","Chata"
"PRL_","Prolog"
"PRL_outsider_house_inside","prl_outsider_house_inside"
"PRL_outsider_house_outside","prl_outsider_house_outside"
"PRL_Tavern","Gospoda"
"PRL_tavern_player_wakes_up","prl_tavern_player_wakes_up"
"PRL_Trail","Szlak górski"
"PRL_Village","Wioska"
"PRL_village_reached","prl_village_reached"
"PRL_WiseWomanHouse","Chata Szeptuchy"
"PW_BrokenHouse","Rudera"
