"Key","Value"
"Description_Debuff_Vulnerable","Teraz może być celem Silnego ataku."
"Description_Offensive_HpPerRound","Otrzymuje [DAMAGE][V.DMG] na końcu każdej rundy."
"Description_Offensive_HpLastRound","Otrzymuje [DAMAGE][V.DMG] w ostatniej rundzie trwania tego stanu."
"Description_Offensive_FocPerRound","Odbiera [FOCUS][V.FOC] na końcu każdej rundy."
"Description_Counter_Self","Pierwszy atak na ten cel, wywoła kontratak."
"Description_Counter_Team","Pierwszy atak na ten cel, wywoła kontratak wszystkich wrogów."
"Description_Convert_DmgToFocus","Sprawia, że zamiast otrzymać [DAMAGE], utracisz [FOCUS] w przeliczeniu 4:1."
"Description_Defensive_40","Zmniejsza otrzymane [DAMAGE] o 40%."
"Description_Defensive_60","Zmniejsza otrzymane [DAMAGE] o 60%."
"Description_Defensive_80","Zmniejsza otrzymane [DAMAGE] o 80%."
"Description_Block_4","Zmniejsza [DAMAGE] otrzymane z każdego ataku o 4."
"Description_Buff_Dmg_Max","Sprawia, że każdy atak na wroga zada mu maksymalne możliwe obrażenia."
"Description_Buff_Dmg_Basic","Zwiększa zadawane [DAMAGE] o 50%."
"Description_Buff_Dmg_Chance","Daje 50% szans na zadawanie podwójnych obrażeń."
"Description_Buff_Dmg_Salutor_1","Zwiększa [DAMAGE] następnego ataku salutora o 8."
"Description_Buff_Dmg_Salutor_2","Zwiększa [DAMAGE] następnego ataku salutora o 50%."
"Description_Buff_Speed_Next","Przyśpiesza tempo twojego następnego działania o 1 rundę."
"Description_Buff_Speed_Temp","Przyśpiesza tempo zaplanowanej umiejętności o 1 rundę."
"Description_Buff_Speed_Salutor","Następne działanie salutora będzie szybsze o 1 rundę."
"Description_Buff_Hide_Action","Utrudnia odczytanie zaplanowanych działań wroga."
"Description_Resist_NegativeStates","Chroni przed otrzymaniem stanów w danej rundzie."
"Description_Resist_ActionManipulation","Zapewnia odporność na spowalnianie tempa i przerywanie działań."
"Description_Debuff_Dmg","Obniża zadawane [DAMAGE] o 50%."
"Description_Debuff_Speed","Spowalnia tempo zaplanowanej umiejętności o 1 rundę."
"Description_Debuff_Mark","Nazmacza cię. Inni wrogowie to wykorzystają."
"Description_Debuff_Def","Zwiększa otrzymane [DAMAGE] o 50%."
"Description_Debuff_Heal","Zmniejsza przywrócone [HP] o 40%."
"Description_Debuff_Stun","Nie pozwala podejmować żadnych działań."
"Description_Debuff_NewSalutor","Osłabia wszystkie wymiary do czasu wizyty u Rasputina."
"Description_Trap_Hit","Pierwszy atak na ten cel wywoła u atakującego ukryty, negatywny stan."
"Description_Trap_Vulnerable","Wywołanie u celu stanu <Tag_Neg>Rozbicie</>, wywoła u atakującego ukryty, negatywny stan."
"Description_Inborn_ResistDmg_40","Redukuje otrzymywane [DAMAGE] o 40%."
"Description_Inborn_ResistDmg_80","Redukuje otrzymywane [DAMAGE] o 80%."
"Description_Inborn_Restore_5","Przywraca [HP] w liczbie 4 co rundę."
"Description_Inborn_Restore_9","Przywraca [HP] w liczbie 7 co rundę."
"Description_Inborn_Restore_18","Przywraca [HP] w liczbie 18 co rundę."
"Description_Inborn_BlockFocus","Ogranicza wpływ na [FOCUS]."
"Description_Inborn_ResistStatus","Zapewnia odporność na otrzymanie nowych negatywnych stanów."
"Description_Inborn_BlockFocusAndResistActionManipulation","Ogranicza wpływ na [FOCUS] i uniemożliwia spowalnianie tempa i przerywanie działań"
"Description_Inborn_ResistDmg_Konieczkin","Co dwie rundy zmienia posiadaną Cechę. Obecna Cecha redukuje otrzymywane [DAMAGE] o 80%."
"Description_Inborn_BlockFocus_Konieczkin","Co dwie rundy zmienia posiadaną Cechę. Obecna Cecha ogranicza wpływ na [FOCUS] celu."
"Description_Inborn_ResistStatus_Konieczkin","Co dwie rundy zmienia posiadaną Cechę. Obecna Cecha zapewnia odporność na otrzymanie nowych stanów."
"Description_Rasputin_Bukavac","Czasowe, negatywne stany, zadają ci podwójne [DAMAGE]."
"Description_Rasputin_Djinn","Twoje ataki wywołują u ciebie <Tag_Neg>Zapłata</>."
"Description_Rasputin_Golem","Otrzymujesz 50% większe [DAMAGE], jeśli twoje [HP] liczą mniej niż 27."
"Description_Rasputin_Krampus","Na końcu każdej rundy, zadaje ci [DAMAGE] równe tyle, co twoje brakujące [FOCUS]."
"Description_Rasputin_Lelek","Wrogie ataki obniżają twoje [FOCUS] dwa razy szybciej."
"Description_Rasputin_Morana","Tempo umiejętności zwalnia o 1 rundę, jeśli twoje [HP] liczą więcej niż 27."
"Description_Rasputin_Weles","Twoje ataki uderzają w losowego wroga."
