"Key","Value"
"Interaction_Inspect","Zbadaj"
"Interaction_Read","Przeczytaj"
"Interaction_Use","Użyj"
"Interaction_Unlock","Odblokuj"
"Interaction_Enter","Wejdź"
"Interaction_Locked","Zamknięte"
"Interaction_Open","Otwórz"
"Interaction_Close","Zamknij"
"Interaction_Talk","Zagadaj"
"Interaction_SitDown","Usiądź"
"Interaction_PickUp","Podnieś"
"Interaction_AnswerPhone","Odbierz telefon"
"Interaction_TravelVillage","Jedź na wozie"
"Interaction_SkipTime","Zaczekaj"
"Interaction_Influence","Zmanipuluj"
"Interaction_ReduceStress","Odpręż się"
"Interaction_TravelByTrain","Złap tramwaj"
"Interaction_TravelByCarriage","Weź dorożkę"
"Interaction_UseWardrobe","Przebierz się"
"Interaction_Barber","Ostrzyż się"
"Interaction_ReduceStress_Coffee","Zamów kawę"
"Interaction_ReduceStress_Beer","Zamów piwo"
"Interaction_ReduceStress_Donuts","Kup pączka"
"Interaction_ReduceStress_IceCream","Kup lody"
"Interaction_ReduceStress_Cognac","Napij się koniaku"
"Interaction_ReduceStress_Chess","Zagraj w szachy"
"Interaction_ReduceStress_Lyre","Posłuchaj liry"
"Interaction_ReduceStress_Wine","Zamów wino"
"Interaction_ReduceStress_Birds","Obserwuj ptaki"
"Interaction_ReduceStress_BarrelOrgan","Posłuchaj katarynki"
"Interaction_ReduceStress_Chocolate","Napij się czekolady"
"Interaction_ReduceStress_Fiddle","Posłuchaj skrzypiec"
"Interaction_ReduceStress_Fruit","Kup egzotycznych owoców"
"Interaction_ReduceStress_Spyglass","Spojrzyj przez lornetkę"
"Interaction_ReduceStress_Candy","Kup landrynki"
"Interaction_ReduceStress_Bread","Kup pieczywo"
"Interaction_ReduceStress_Balalaika","Posłuchaj bałałajki"
"Interaction_ReduceStress_Challah","Kup chałkę"
"Interaction_ReduceStress_Tincture","Napij się nalewki"
"Interaction_ReduceStress_Poetry","Czytaj poezję"
"Interaction_ReduceStress_Orangeade","Napij się oranżady"
"Interaction_ReduceStress_Cigar","Kup cygaro"
"Interaction_ReduceStress_Dumplings","Kup pierogi"
"Interaction_ReduceStress_Accordion","Posłuchaj akordeonu"
"Interaction_ReduceStress_Bed","Prześpij się"
"TimeOfDay_Noon","Południe"
"TimeOfDay_LateAfternoon","Późne popołudnie"
"TimeOfDay_Night","Noc"
"TimeOfDay_EarlyMorning","Wczesny poranek"
"Interaction_Donuts","Odłóż pączki"
"Thauma_Vision","Percepcja"
"Interaction_GoBack","Wróć"
"Interaction_Travel","Jedź"
"Interaction_Select","Wybierz"
"UnitData_Man","Mężczyzna"
"UnitData_Woman","Kobieta"
"UnitData_Child","Dziecko"
"Perception_Insufficient_DimensionValue","Za mała siła Wymiaru {dim} ({value})"
"Perception_Conclusion_DescriptionBlocked","Musisz zebrać wszystkie Spostrzeżenia i odkryć sekrety ukryte w przedmiotach, aby móc wyciągnąć Wniosek"
"Interaction_Remove","Zdejmij"
"Interaction_Call","Zadzwoń"
"Perception_Possible","Wystarczająca siła Wymiaru {dim}"
"Interaction_ManipulationLocked","Zablokowane"
"Interaction_PerceptionPending","Słaba percepcja"
"Interaction_PerceptionAwaiting","Zbadaj"
"Dialogue_ResponseLockedReason","Coś ci jeszcze umyka. Szukaj dalej."
"Dialogue_ResponseLocked","Jeszcze nie możesz tego powiedzieć. Szukaj dalej."
"Dialogue_ResponseUnlockedReason","Masz już wiedzę lub znasz kontekst, aby odpowiedzieć."
"Dialogue_ResponseManipulationLocked","Brak ci siły Wymiaru lub salutora."
"Interaction_Manipulate","Manipuluj"
"QuestTracker_ChangeTracking","Zmień śledzony wpis"
"QuestTracker_Additional","Dodatkowo:"
"Interaction_ReduceStress_Absinthe","Zamów absynt"
"Interaction_ReduceStress_Fishing","Łów ryby"
"Interaction_knock","Zapukaj"
"Dialogue_Response_PrideNotEnough","Tego nie powiesz, przez zbyt małą Dumę."
"Dialogue_Response_PrideTooMuch","Tego nie powiesz, przez zbyt wybujałą Dumę."
"Dialogue_Response_PrideUsed","Tym samym, karmisz Skazę Dumy."
"Dialogue_Response_PrideExplanation","<tag>Dumna</> odpowiedź. Nie tylko czerpie z poziomu twojej Skazy Dumy, ale również nakarmi ją jeszcze bardziej."
"Interaction_KeysBack","Odłóż klucze"
"Interaction_Eavesdrop","Podsłuchaj"
"Dialogue_ResponseLockedForGood","W konsekwencji decyzji, ta droga jest zamknięta."
"Dialogue_Response_PrideTookControl","Twoja Duma wzięła górę i wybrała za ciebie."
"Interaction_Pet","Pogłaszcz"
"Interaction_Listen","Posłuchaj"
"InputAction_QuickSave","Szybki zapis"
"InputAction_ZoomIn","Przybliż kamerę"
"InputAction_ZoomOut","Oddal kamerę"
"InputAction_Interaction","Interakcja"
"InputAction_Click","Idź do miejsca"
"InputAction_Perception","Użyj Percepcji"
"InputAction_SelectPreviousObjective","Śledź poprzedni wpis"
"InputAction_SelectNextObjective","Śledź następny wpis"
"InputAction_OpenLogEntry","Otwórz ostatni wpis"
"InputAction_MoveForward","Idź w górę"
"InputAction_MoveBackward","Idź w dół"
"InputAction_QuickLoad","Wczytaj ostatni zapis"
"InputAction_Movement","Poruszanie się"
"InputAction_MoveRight","Idź w prawo"
"InputAction_MoveLeft","Idź w lewo"
"Interaction_AdmireView","Podziwiaj widoki"
"Dialogue_Event_ThoughtsTrailSeen","Dostrzegasz subtelną nić myśli rozmówcy. Warto sprawdzić, dokąd prowadzi."
"Dialogue_Consequence","{name} to zapamięta."
"Dialogue_SelectChoice01","Wybierz opcję 1"
"Dialogue_SelectChoice02","Wybierz opcję 2"
"Dialogue_SelectChoice03","Wybierz opcję 3"
