"Key","Value"
"CM_ExteriorDescriptions","Pęd cywilizacji, sukces, pomnażanie kapitału - marmurowe anioły uśmiechają się kpiąco, obserwując to zza cmentarnej bramy."
"SMG_ExteriorDescriptions","Stukot dorożek, tramwajów i zgiełk tłumu, lecz tuż obok przytulna zieloność skwerów i cisza. Dwa światy, niedom i dom jednocześnie."
"PP_ExteriorDescriptions","Ponura gardziel, w którą ze Śląska wpływają barki z węglem, a od strony morza - pomarańcze, kawa i szafran."
"BZR_ExteriorDescriptions","Jeden z ważniejszych bazarów Warszawy. Wielki kiosk w kształcie syfonu góruje nad kupcami, naciągaczami i kieszonkowcami słynnymi na całą Europę."
"SMC_ExteriorDescriptions","Nawołujący gazeciarze, uprzejmy uśmiech sąsiada, pączki w kawiarni. Sympatyczne europejskie miasto? Nie z tymi podwójnymi szyldami i patrolami."
"PW_ExteriorDescriptions","Sterty odpadków, również tych ludzkich. Kobiety upadłe kuszą przechodniów swoimi wymizerowanymi ciałami, okna łatane są łachmanami."
"GRZ_ExteriorDescriptions","Gwarno tu, ruchliwie i tłoczno.  W cierpliwym cieniu synagogi czy Gościnnego Dworu, zaradni mieszkańcy od świtu do zmierzchu uwijają w sprawunkach."
"DS_ExteriorDescriptions","Zielona oaza pośród miejskiego chaosu. Tłumy spieszące na jarmark, dzieci grające w serso, kataryniarze, szmer towarzyskich plotek..."
"PRL_VillageDescriptions","Wśród drewnianych chałup i gdaczącego drobiu można by się czuć swojsko, gdyby nie dziwna atmosfera, która przenika tutaj każdą piędź ziemi."
"PR_ExteriorDescriptions","Drewniane chałupy, między którymi biegnie linia tramwaju i nowoczesne skwery budowane obok karczm. Tygiel kulturowy przełomu wieków."
"POL_Forest_ClearingDescriptions","Miejscowi chłopi błogosławią to miejsce - zieloną i pachnącą fabrykę, w której gwiżdżą tylko ptaki, a huczy jedynie strumień."
"SK_Train_StationDescriptions","Piękny wiek XIX, wspaniały wiek XX. Nawet tutaj, wioska na krańcach Zakaukazia ma swój portal łączący ją z resztą świata."
"WCM_CemeteryDescriptions","Niektórzy z umrzyków nigdy nie wystawili stopy poza granice tej wioski. Teraz pozostaną tutaj już na zawsze."
"SG_Burned_HouseDescriptions","Miejscowi wspominają to miejsce z nostalgią za utraconym spokojem i światłem. Naznaczone śmiercią, zostało przeklęte."
