"Key","Value"
"SMG_Plac_Zielony","Plac Zielony"
"SMG_Plebanska","Plebańska"
"SMG_Prozna","Próżna"
"SMC_Marszalkowska","Marszałkowska"
"SMG_Erywanska","Erywańska"
"SMC_Aleje_Jerozolimskie","Aleje Jerozolimskie"
"SMC_Poznanska","Poznańska"
"SMC_Nowogrodzka","Nowogrodzka"
"SMC_Posterunkowa","Posterunkowa"
"CM_Mlynarska_Tylna","Młynarska Tylna"
"CM_Powazkowska","Powązkowska"
"CM_Cmentarna","Cmentarna"
"GRZ_Grzybowska","Grzybowska"
"GRZ_Gnojna","Gnojna"
"GRZ_Graniczna","Graniczna"
"GRZ_Panska","Pańska"
"GRZ_Kreta","Kręta"
"GRZ_Gorska","Górska"
"GRZ_Maryanska","Maryańska"
"GRZ_Skorzana","Skórzana"
"GRZ_Twardowskiego","Twardowskiego"
"BZR_Targowa","Targowa"
"BZR_Brukowa","Brukowa"
"BZR_Brzeska","Brzeska"
"BZR_Konstantynowska","Konstantynowska"
"PW_Bialoskrobnicza","Białoskrobnicza"
"PW_Dobra","Dobra"
"PW_Browarna","Browarna"
"PW_Maryenstadt","Maryenstadt"
"PW_Ziemna","Ziemna"
"PW_Bednarska","Bednarska"
"PR_Aleksandrowska","Aleksandrowska"
"PR_Panienska","Panieńska"
