"Key","Value"
"Progression.Unlocked.Effect.Deed.1","Obniża [FOCUS] celu dodatkowo o 1 jeśli wróg jest pod wpływem stanu <Tag_Neg>Cierpienie</>."
"Progression.Unlocked.Effect.Deed.3","Przywraca ci [GameplayEffect.Instant.Heal.Hp.DeedProgression] [HP] za każdego wroga pod wpływem stanu <Tag_Neg>Cierpienie</>."
"Progression.Unlocked.Effect.Deed.5","Przerywa zaplanowane działanie wroga, jeśli ten jest pod wpływem stanu <Tag_Neg>Cierpienie</>."
"Progression.Unlocked.Effect.Deed.8","Przywraca ci [HP] w liczbie [GameplayEffect.Instant.Heal.Hp.HeartProgression]."
"Progression.Unlocked.Effect.Heart.1","Daje 60% szans na zadanie podwójnych obrażeń."
"Progression.Unlocked.Effect.Mind.1","Przywraca ci [FOCUS] równe (3)."
"Progression.Unlocked.Effect.Mind.2","Daje 60% szans na spowolnienie działań wroga."
"Progression.Unlocked.Effect.Mind.5","Zwiększa obrażenia o 100% jeśli wróg jest pod wpływem stanu <Tag_Neg>Cierpienie</>."
"Progression.Unlocked.Effect.Mind.6","Spowalnia tempo zaplanowanego działania wroga."
"Progression.Unlocked.Effect.Mind.7","Sprawia, że atak na wroga obierze losowy cel."
"Progression.Unlocked.Effect.Mind.8","Pozwala przerywać zaplanowane działanie wroga."
"Progression.Unlocked.Effect.Word.1","Daje 50% szans na przerwanie zaplanowanego działania wroga."
"Progression.Unlocked.Effect.Word.3","Daje 50% szans, że [FOCUS] celu zostanie obniżone dodatkowo o 2."
"Progression.Unlocked.Effect.Word.5","Podwaja efekt umiejętności, jeśli twoje [FOCUS] wynosi mniej niż 6."
