"Key","Value"
"Engage","Zawiązanie walki"
"Skip","Pomiń turę"
"Player_A1","Szybki atak"
"Player_A2","Akcja reakcja"
"Player_A3","Błyskawiczna kombinacja"
"Player_B1","Planowany atak"
"Player_B2","Przemyślane rozwinięcie"
"Player_B3","Kończący argument"
"Player_C1","Rozproszenie"
"Player_C2","Dekoncentracja"
"Player_C3","Tortura"
"Player_D1","Zadawniona rana"
"Player_D2","Katusze"
"Player_D3","Udręczenie"
"Player_H","Wstrząs mózgu"
"Bukavac_01","Fatum"
"Bukavac_02","Krwawe gody"
"Bukavac_03","Skowyt"
"Bukavac_H","Surmijski cios"
"Djinn_01","Podszept Karina"
"Djinn_02","Koszmar derwisza"
"Djinn_03","Życiowe zadłużenie"
"Djinn_H","Ostatnie życzenie"
"Golem_01","Shem"
"Golem_02","Afar"
"Golem_03","Dam"
"Golem_H","Mét"
"Krampus_01","Szatański figiel"
"Krampus_02","Czarci pakt"
"Krampus_03","Diabelska kara"
"Krampus_H","Śmiertelny sznaps"
"Lelek_01","Zwodnicza pieśń"
"Lelek_02","Żałobne tony"
"Lelek_03","Posępny trel"
"Lelek_H","Lament umrzyka"
"Morana_01","W objęciach śmierci"
"Morana_02","Cena spokoju"
"Morana_03","Morowe tchnienie"
"Morana_H","Zimowy sen"
"Upyr_01","Upiorne upojenie"
"Upyr_02","Krwawa pokuta"
"Upyr_03","Liberum Veto"
"Upyr_H","Już nie dla świata"
"Weles_01","Całus na szczęście"
"Weles_02","Śliski zakład"
"Weles_03","Jadowity uśmiech"
"Weles_H","Fortunny obrót"
"Salutor_Sacrifice","Zerwanie więzi"
"Rasputin_01","Kara za grzechy"
"Rasputin_02","Zatrucie więzi z Bukavacem"
"Rasputin_03","Zatrucie więzi z Lelkiem"
"Rasputin_04","Zatrucie więzi z Welesem"
"Rasputin_05","Zatrucie więzi z Golemem"
"Rasputin_06","Zatrucie więzi z Djinnem"
"Rasputin_07","Zatrucie więzi z Moraną"
"Rasputin_08","Zatrucie więzi z Krampusem"
"Rasputin_H","Pokuta"
"Guard_01","Defensywne przejście"
"Counter_01","Szykowanie kontrataku"
"Counter_02","Defensywa zespołowa"
"Blunt_Fast_01","Obicie"
"Blunt_Fast_02","Szast-prast"
"Blunt_Fast_03","Ogłuszające uderzenie"
"Blunt_Fast_04","Uszkodzenie czaszki"
"Blunt_Fast_05","Obuch"
"Blunt_Medium_01","Odstraszacz"
"Blunt_Medium_02","Pogruchotanie"
"Blunt_Medium_03","Wściekłe uderzenie"
"Blunt_Medium_04","Rozłupanie czaszki"
"Blunt_Medium_05","Ciężki obuch"
"Blunt_Slow_01","Niszczyciel"
"Blunt_Slow_02","Połamanie"
"Blunt_Slow_03","Planowane uderzenie"
"Blunt_Slow_04","Zdruzgotanie czaszki"
"Blunt_Slow_05","Srogi obuch"
"Blunt_H","Ogłuszająca kombinacja"
"Derringer_Fast_01","Raniący pocisk"
"Derringer_Medium_01","Penetrujący pocisk"
"Derringer_Slow_01","Rozrywający pocisk"
"Derringer_H","Amunicja powalająca"
"Firearms_Fast_01","Szybki strzał"
"Firearms_Fast_02","Stylowy strzał"
"Firearms_Medium_01","Celny strzał"
"Firearms_Medium_02","Precyzjny strzał"
"Firearms_Slow_01","Cyzelowany strzał"
"Firearms_Slow_02","Mierzony strzał"
"Fist_Body_01_Fast_01","Posiniaczenie"
"Fist_Body_01_Medium_01","Potłuczenie"
"Fist_Body_01_Slow_01","Poturbowanie"
"Fist_Body_02_Fast_01","Przetrzepanie skóry"
"Fist_Body_02_Fast_02","Ciągła presja"
"Fist_Body_02_Medium_01","Uderzenie w korpus"
"Fist_Body_02_Medium_02","Całym sobą"
"Fist_Body_02_Slow_01","Porządek ciosów"
"Fist_Body_02_Slow_02","Zmasakrowanie"
"Fist_Head_01_Fast_01","Szybki wymach"
"Fist_Head_01_Fast_02","Hak"
"Fist_Head_01_Medium_01","Wolny wymach"
"Fist_Head_01_Medium_02","Gong"
"Fist_Head_01_Slow_01","Potężny wymach"
"Fist_Head_01_Slow_02","Ryjcopranie"
"Fist_Head_02_Fast_01","Szybka pięść"
"Fist_Head_02_Fast_02","Błyskawiczny cios"
"Fist_Head_02_Medium_01","Ciężka pięść"
"Fist_Head_02_Medium_02","Odważny cios"
"Fist_Head_02_Slow_01","Miażdżąca pięść"
"Fist_Head_02_Slow_02","Potężny cios"
"Fist_Kick_01_Fast_01","Szybki kopniak"
"Fist_Kick_01_Medium_01","Kopniak"
"Fist_Kick_01_Slow_01","Obalający kopniak"
"Fist_Throw_01","Rzut"
"Fist_H","Łamignat"
"Knife_01_Fast_01","Płytkie cięcie"
"Knife_01_Medium_01","Prezycyjne cięcie"
"Knife_01_Slow_01","Głębokie cięcie"
"Knife_02_Fast_01","Wątłe pchnięcie"
"Knife_02_Medium_01","Zdradliwie pchnięcie"
"Knife_02_Slow_01","Głębokie pchnięcie"
"Knife_H","Nawałnica cięć"
"Pistol_H","Amunicja specjalna"
"Rifle_Fast_01","Strzał na oślep"
"Rifle_Medium_01","Amatorski strzał"
"Rifle_Slow_01","Przymierzony strzał"
"Rifle_H","Snajperski strzał"
"Sabre_01_Fast_01","Szybkie cięcie"
"Sabre_01_Fast_02","Sieknięcie"
"Sabre_01_Medium_01","Precyzyjne cięcie"
"Sabre_01_Medium_02","Wzdłuż ciała"
"Sabre_01_Slow_01","Żgnięcie"
"Sabre_01_Slow_02","Rozpłatanie"
"Sabre_02_Fast_01","Raniące ostrze"
"Sabre_02_Medium_01","Przebijające ostrze"
"Sabre_02_Slow_01","Powolne ostrze"
"Sabre_H","Zabójcza kombinacja"
"Fist_Ally_01","Szybki prosty"
"Fist_Ally_02","Prawy sierpowy"
"Buff_Heal_HP_01","Uzdrowienie"
"Buff_Heal_HP_02","Doraźna pomoc"
"Buff_Heal_Focus_01","Psychoterapia"
"Buff_Heal_Focus_02","Spokojnie, panowie"
"Buff_Dmg_01","Podżeganie"
"Buff_Dmg_02","Kamraci!"
"Buff_Def_01","Policyjna osłona"
"Buff_Speed_01","Szybciej!"
