"Key","Value"
"ChainsDescription","Sekwencje"
"ChangeActiveUnit","Wybierz siebie lub salutora"
"ChangingPosition","Skracanie dystansu"
"ChooseFocusAttack","Pozbawianie Skupienia"
"ChoosingAbility","Wybór umiejętności"
"Conclusions","Wyciąganie wniosków"
"DeclaringFastAction","Szybka umiejętność"
"DeclaringMediumAction","Wolna umiejętność"
"DeclaringSalutorAction","Wydawanie rozkazów"
"FourDimensions","Cztery Wymiary"
"Imprint","Ślady"
"InbornStates1","Cechy"
"InbornStates2","Usypianie Cech"
"Insights","Spostrzeżenia"
"Insights2","Percepcja na przedmiotach"
"Manipulation","Manipulacja"
"ManipulationsDialogues","Manipulacja w rozmowie"
"ManipulationSmall","Manipulacja woźnicą"
"MovementSmall","Poruszanie się"
"PerceptionGeneral","Percepcja"
"PerceptionTrackingSmall","Percepcja"
"PositionDescription","Dystans w walce"
"ProgressionTree","Punkty Thaumaturgii"
"RitualFight","Walka z dzikim salutorem"
"SalutorDistanceAbility","Umiejętność salutora"
"SelectSalutor","Przywołanie innego salutora"
"SpecialActionAvailable","Okazja na Silny atak"
"Statuses","Stany"
"StresDescription","Silne ataki a Skupienie"
"Targeting","Wybór celu"
"Timeline","Kolejka działań"
"Timeline2","Tempo umiejętności"
"UpgradeChains","Ulepszenia umiejętności"
"WinCondition","Warunki zwycięstwa"
"NewSalutor","Poskromienie salutora"
"NewSalutorSmall","Poskromienie salutora"
"InsightsSmall","Percepcja"
"Wardrobe","Garderoba"
"PlayerFlawPride","Skaza"
"UpyrVisions","Wizje"
"RasputinBossFight","Jarzmo salutora"
"InventoryPanel","Dobytek"
"MapPanel","Mapa"
"GlossaryPanel","Wpisy"
"ProgressionPanel","Thaumaturgia"
"JournalPanel","Dziennik"
"TimeSkipBench","Zmiana pory dnia"
"TrackingObjectives","Wiele celów zadań"
