"Key","Value"
"ACH_q001_healed","Powrót do żywych"
"ACH_q001_healed_desc","Wróć do pełni zdrowia dzięki pomocy cudotwórcy."
"ACH_q001_got_bukavac","Bestia z Zakaukazia"
"ACH_A1_started","Rozdział I. Co ja robię tu?"
"ACH_q102_got_lelek","Trele morele"
"ACH_q103_got_weles","Lepszy wąż w kieszeni..."
"ACH_A2_started","Rozdział II. Stawki i koszty"
"ACH_q201b_got_golem","Poskromienie gliny"
"ACH_q201b_gave_away_golem","Nie moja glina, nie mój problem"
"ACH_A3_started","Rozdział III. Żarty się skończyły"
"ACH_joined_committee","Razem raźniej"
"ACH_joined_rasputin","Z diabłem pod rękę"
"ACH_q401_ending","Trud jego skończon"
"ACH_q401_secret_ending","A gdyby tak rzucić wszystko..."
"ACH_all_sketches","Rysownik"
"ACH_all_photos","Turysta"
"ACH_all_records","Meloman"
"ACH_all_clothes","Aligant"
"ACH_lw_smc_done","Politycznie zaangażowany"
"ACH_saddle_ordered","Telemarketing"
"ACH_lw_smg_done","Wieczny student"
"ACH_uni_saved","Zasłużony dla nauki"
"ACH_pw02_got_morana","Śliska sprawa"
"ACH_grz01_got_djinn","Ostatnie życzenie"
"ACH_grz01_gave_away_djinn","Prezent na życzenie"
"ACH_pp01_got_krampus","Ktoś tu dostanie rózgę..."
"ACH_combat_full_health","Pełna dominacja"
"ACH_combat_never_attacked","Rączki przy sobie"
"ACH_combat_champion_of_ring","Podziemny krąg"
"ACH_combat_30_enemies_stunned","Skup się!"
"ACH_combat_let_them_suffer","Wieczne cierpienie"
"ACH_combat_break_action","Nie tak szybko"
"ACH_combat_deal_1001_dmg","Manufaktura bólu"
"ACH_combat_win_low_health","Mało brakowało"
"ACH_full_dim_heart","Serce na dłoni"
"ACH_full_dim_deed","Człowiek Czynu"
"ACH_full_dim_mind","Geniusz!"
"ACH_full_dim_word","Erudyta"
"ACH_full_pride","Na skrzydłach Dumy"
"ACH_wanted_letters","Ten rysunek mnie pogrubia"
"ACH_q401_rasputin_friend","Cześć, partnerze"
"ACH_q401_rasputin_servant","Waruj!"
"ACH_q401_rasputin_dead","Niech się stanie wola moja"
"ACH_q401_committee_pps_dead","Cena za wygraną"
"ACH_q401_committee_peace","Nowa Komitywa"
"ACH_smg01_liar_liar","Kłamca, kłamca"
"ACH_smc03_love_finds_way","Żółte kaczeńce i ona"
"ACH_smg01_donuts","Przez żołądek do serca"
"ACH_cm01_papa_home","Powrót ojca"
"ACH_pw01_i_know_abaurycy","Ma się te znajomości"
"ACH_pw02_nobody_moves","Negocjator"
"ACH_grz01_well_fight","Wiktor z Arabii"
"ACH_smg02_long_lecture","Wymagający profesor"
"ACH_bzr01_kafar_saved","Sztymunek!"
"ACH_combat_states","Pokojowe rozwiązanie"
"ACH_combat_6_rounds","Szybki i zdenerwowany"
"ACH_all_upyr_visions","Teraz rozumiem"
"ACH_q001_got_bukavac_desc","Złap salutora, który nawiedza mieszkańców wioski."
"ACH_A1_started_desc","Zakończ sprawy w wiosce i udaj się do Warszawy."
"ACH_q102_got_lelek_desc","Pochwyć grasującego po Śródmieściu Południowym Lelka."
"ACH_q103_got_weles_desc","Pochwyć Welesa, Salutora zwabionego do Hotelu Imperialnego."
"ACH_A2_started_desc","Dowiedz się o pewnym dworskim sekrecie."
"ACH_q201b_got_golem_desc","Nie pozwól, żeby Golem wymknął ci się z rąk."
"ACH_q201b_gave_away_golem_desc","Dotrzymaj obietnicy danej Arielowi Rofe i oddaj mu Golema."
"ACH_A3_started_desc","Opuść klinikę, powitaj stan wojenny w Warszawie."
"ACH_joined_committee_desc","W grupie siła. Przyłącz się do Komitywy."
"ACH_joined_rasputin_desc","Zaufaj planowi Rasputina i dołącz do niego."
"ACH_wanted_letters_desc","Zerwij wszystkie listy gończe ze swoją podobizną."
"ACH_q401_ending_desc","Dotrwaj do końca tej przygody."
"ACH_q401_secret_ending_desc","Rzuć wszystko i na zawsze ucieknij z Warszawy."
"ACH_q401_rasputin_friend_desc","Dostań się na carski dwór jako przyjaciel Rasputina."
"ACH_q401_rasputin_servant_desc","Wykorzystaj Rasputina, by dostać się na carski dwór."
"ACH_q401_rasputin_dead_desc","Zostań Krwawym Thaumaturgiem cara Mikołaja II."
"ACH_q401_committee_pps_dead_desc","Osiągnij okupione krwią zwycięstwo u boku Komitywy."
"ACH_q401_committee_peace_desc","Zdobądź pełną przychylność cara u boku Komitywy."
"ACH_all_sketches_desc","Naszkicuj wszystkie okoliczne atrakcje."
"ACH_all_photos_desc","Obejrzyj wszystkie zdjęcia ze stereografów."
"ACH_all_records_desc","Zbierz wszystkie płyty patefonowe."
"ACH_all_clothes_desc","Zbierz wszystkie zestawy ubrań."
"ACH_lw_smc_done_desc","Doprowadź do końca sprawy Pietii, robotników oraz Lechitów."
"ACH_smg01_liar_liar_desc","Poznaj prawdę na temat Pietii, ale i tak kryj go przed wujkiem Saszą."
"ACH_saddle_ordered_desc","Bucefał zasługuje na iście luksusowe siodło. Zamawiaj!"
"ACH_smc03_love_finds_way_desc","Przekaż Reginie Wiśniewskiej ostatnie myśli jej męża."
"ACH_lw_smg_done_desc","Zaangażuj się w sprawę Uniwersytetu Latającego i zobacz, jak to się skończy."
"ACH_smg01_donuts_desc","Przynieś pączki na wykład w antykwariacie."
"ACH_uni_saved_desc","Doprowadź do legalizacji Uniwersytetu Latającego."
"ACH_cm01_papa_home_desc","Pozwól prochom ojca wrócić do domu."
"ACH_pw01_i_know_abaurycy_desc","Spróbuj wydostać się z kłopotów powołując się na Abaurycego."
"ACH_pw02_got_morana_desc","Złap Moranę, salutora z Powiśla."
"ACH_pw02_nobody_moves_desc","Doprowadź do bezkrwawego rozwiązania konfliktu."
"ACH_grz01_got_djinn_desc","Złap Djinna, który zwodzi wędrowców na Mirowie."
"ACH_grz01_gave_away_djinn_desc","Podaruj Djinna Leili."
"ACH_grz01_well_fight_desc","Wygraj walkę z Alim przy wodopoju."
"ACH_smg02_long_lecture_desc","Omów ze studentami wszystkie przygotowane rekwizyty."
"ACH_bzr01_kafar_saved_desc","Pomóż Abaurycemu w jego wendecie, jak za starych, dobrych czasów."
"ACH_pp01_got_krampus_desc","Nie pozwól Krampusowi umknąć. Złap go!"
"ACH_combat_full_health_desc","Wygraj walkę, mając pełnię Punktów Życia."
"ACH_combat_states_desc","Wygraj walkę jedynie dzięki nakładaniu Stanów na wrogów."
"ACH_combat_6_rounds_desc","Wygraj potyczkę w nie więcej niż sześć rund."
"ACH_combat_never_attacked_desc","Nie pozwól wrogom wyprowadzić ataku podczas walki."
"ACH_combat_champion_of_ring_desc","Wygraj wszystkie walki na ringu na Powiślu."
"ACH_combat_30_enemies_stunned_desc","Rozbij Skupienie dwudziestu pięciu wrogów."
"ACH_combat_let_them_suffer_desc","Po stokroć nałóż na wrogów Stan Cierpienie."
"ACH_combat_break_action_desc","Opóźnij lub przerwij akcję pięćdziesięciu wrogom."
"ACH_combat_deal_1001_dmg_desc","Zadaj tysiąc i jedno Obrażenie swoim wrogom."
"ACH_combat_win_low_health_desc","Wygraj walkę mając mniej niż sześć Punktów Życia."
