"Key","Value"
"Panel_Map","Lokacje"
"Panel_WorldMap","Mapa"
"Panel_Journal","Dziennik"
"Panel_Glossary","Wpisy"
"Panel_Tendency","Wiktor"
"Panel_Progression","Thaumaturgia"
"Panel_Flaws","Skazy"
"Panel_Conclusions","Spostrzeżenia i Wnioski"
"WorldMap_VillagePlan","Plan okolicy"
"NextPanel","Następny panel"
"Progression_NoPoints","Brak punktów"
"Progression_NoPrevStep","Brak poprzedniego kroku"
"Progression_Active","Aktywny"
"Menu_Language","Język (Language)"
"Menu_Camera","Kamera"
"Menu_CameraFOV","Pole widzenia eksploracji (FOV)"
"Menu_Controls","Sterowanie"
"Menu_ControlsMovement","Sposób poruszania się"
"Menu_Audio","Dźwięk"
"Menu_AudioMusic","Muzyka"
"Menu_AudioSFX","Efekty"
"Menu_AudioGlobal","Ogólne"
"Menu_Combat","Walka"
"Menu_GameSettings","Opcje"
"Menu_Save","Zapisz"
"Menu_Load","Wczytaj"
"Menu_Quit","Wyjdź z gry"
"Panel_Menu","Menu"
"Menu_GameSaved","Zapisano"
"Journal_ActiveQuests","Aktywne"
"Journal_CompletedQuests","Ukończone"
"Journal_Select","Wybierz"
"Journal_Track","Śledź zadanie"
"ClosePanel","Zamknij"
"Progression_Develop","Rozwiń"
"CombatSelection_Begin","Rozpocznij"
"Dialogue_SkipLine","Pomiń wypowiedź"
"Dialogue_OpenHistory","Przypomnij rozmowę"
"WorldMap_CurrentLocation","Tu jesteś"
"WorldMap_CityPlan","Plan miasta"
"Tendency_WorldTendency","Tendencja świata"
"Panel_Insights","Spostrzeżenia"
"Common_Select","Wybierz"
"Consequences_Consequence","Konsekwencja"
"Menu_GameOverAdvice_2","Aby lepiej poradzić sobie w walce możesz skorzystać z podpowiedzi w panelu Pomocy oraz sugestii dotyczących salutorów."
"WorldMap_ChangeHub","Zmień dzielnicę"
"WorldMap_ZoomIn","Przybliż"
"Menu_GameOver","Koniec gry"
"Menu_SaveWarning","Zapisywanie i wczytywanie gry jest niemożliwe w trakcie walki."
"Menu_DifficultyLevel","Poziom trudności"
"Menu_DifficultyLevel1","Tryb Fabularny"
"Menu_DifficultyLevel2","Tryb Wyzwania"
"Menu_Exploration","Eksploracja"
"Menu_NewGameWarning","Czy na pewno chcesz rozpocząć nową grę?"
"Common_Yes","Tak"
"Common_No","Nie"
"Menu_NewGame","Nowa gra"
