"Key","Value"
"Rasputin","Pobożna osoba"
"q101_wanda","Dziewczyna o silnej woli"
"Abaurycy","Chaotyczny mężczyzna"
"Xavier","Amator Boksu"
"Oksana","Tajemnicza kobieta"
"q103_medium","Medium"
"q103_zofia","Debiutantka"
"q102_cossack_danis","Lekkomyślny mężczyzna"
"Stanisław","Ojciec"
"q101_kettling_officer","Niecierpliwy oficer"
"q001_luka","Raptowna osoba"
"q001_vesna","Nerwowa osoba"
"q001_wagoner","Znużona osoba"
"lw_smc01_victim","Ambitna osoba"
"lw_smc01_concierge","Sfrustrowana osoba"
"lw_smc01_waitress","Przestraszona osoba"
"lw_smc01_waitress_false","Zakochana osoba"
"lw_smc01_woronin_son","Zadufana osoba"
"lw_smc02_boss","Strapiona osoba"
"lw_smc02_aggressive_worker","Wybuchowa osoba"
"lw_smc02_worker_wife","Zakochana osoba"
"lw_smg01_thaumaturgy_devotee_helper","Złodziej"
"lw_cm01_gravedigger_assistant","Hiena cmentarna"
"lw_cm01_wta_agent","Sceptyczna osoba"
"lw_smg01_thaumaturgy_devotee","Elegancka kobieta"
"lw_pw01_artist","Ekscentryczna osoba"
"lw_smg01_scared_woman","Awanturniczka"
"q104_scene_gossiping_girl1","Kochanka Javiera"
"q102_side_bar_bouncer","Pożądliwa osoba"
"q103_zofia_friend2","Intrygantka"
"Izaak_Sofer","Starzec"
"lw_smc03_victim_traitor","Matka"
"lw_smc03_victim_patriot","Romantyk"
"lw_smc03_wounded_man","Zamachowiec"
"lw_smc03_blind_girl","Niewinna osoba"
"lw_smc03_station_guard","Zafascynowana osoba"
"q101_platform_crier","Choleryczny mężczyzna"
"q103_elegant_man2","Łobuz"
"Ariel_Rofe","Kabalista"
"lw_pw02_murderer","Rybak"
"lw_pw02_pawnshop_owner","Przesądna osoba"
"lw_pw02_kid_leader","Zachwycona osoba"
"Mordechaj_Chajat","Subiekt"
"Emir_Burnakov_faldzej","Lekarz"
"Abraham_Horowitz_apothecary","Aptekarz"
"Konieczkin","Naczelnik"
"q301_rioter_old_woman_01","Młody Mężczyzna"
"q201b_bouncer_bimber_shop","Człowiek Ariela"
"Skalon","Generał-gubernator"
"Grazyna","Gospodyni"
"Maria","Palaczka"
"Magdalena","Naiwna kobieta"
"Lazarew","Oficer"
"q103_aniela_maid","Służąca"
"Angela","Mieszczanka"
"q103_angela_husband","Mieszczanin"
"q203_priest","Duchowny"
"Tsarina","Caryca"
"q203_victim_child","Dziecko"
"q203_victim_old_woman","Matka"
"q103_countess","Hrabina Lermontowa"
"lw_pw01_main_policeman","Zestresowana osoba"
"lw_grz01_thief","Złodziej"
"lw_grz01_thief_brothe","Dziecko"
"lw_grz01_guard01","Sfrustrowana osoba"
"lw_cm01_wta_leader","Fanatyk"
"lw_grz01_merchant","Marzyciel"
"lw_pp01_thief_leader","Prowodyr"
"lw_pp01_thief_idiot","Upokorzona osoba"
"lw_smg03_aggressive_man1","Awanturnik"
"lw_smg01_ochrana_spy","Fałszywa osoba"
"lw_cm01_gravedigger","Zatroskana osoba"
